variant,R_peri_kpc,R_apo_kpc,z_max_kpc,min_r_sph_kpc,ecc,EJ_drift_rel
static_halo_0p85,0.008931280202901862,4.611373424530029,2.0379555225372314,0.5610625147819519,0.9961338999162747,
static_halo_0p85,0.12698042212764046,9.079340934753418,4.778954029083252,0.1295364648103714,0.9724145145047034,
static_halo_0p85,0.032709643148525085,2.9711856842041016,1.1980634927749634,0.3553396463394165,0.9782218489101931,
static_halo_0p85,0.06878012453373117,7.192941665649414,3.9435038566589355,0.07249235361814499,0.9810567998827185,
static_halo_0p85,0.016328617950804883,4.761803150177002,2.7240610122680664,0.017132243141531944,0.9931652709706652,
static_halo_0p85,0.07467822901765055,10.57278060913086,4.0929856300354,0.8445397615432739,0.9859725723944408,
static_halo_0p85,0.013776793364332433,2.6801042556762695,1.2835639715194702,0.04633365571498871,0.9897717879048602,
static_halo_0p85,0.07070850892470593,4.351513862609863,1.8289563655853271,0.5985485315322876,0.9680212784504688,
static_halo_0p85,0.05765879177324685,9.732136726379395,4.158703327178955,0.7161054611206055,0.9882206340946892,
static_halo_0p85,0.009361340296635406,3.63132905960083,1.623853325843811,0.38845279812812805,0.9948573818323584,
static_halo_0p85,0.001728612616476694,3.0371413230895996,1.1931513547897339,0.4047626554965973,0.9988623319503308,
static_halo_0p85,0.02934229011942798,6.8080153465271,2.7597732543945312,0.7997322082519531,0.9914170673295893,
static_halo_0p85,0.027914142111852884,7.175567626953125,3.4110448360443115,0.0825100690126419,0.9922498194604368,
static_halo_0p85,0.0452557335589739,3.0773026943206787,1.3150672912597656,0.3112235963344574,0.971013683423881,
static_halo_0p85,0.011335786571862246,3.670888900756836,1.870511531829834,0.07838606834411621,0.9938429685668716,
static_halo_0p85,0.0304704206522057,2.993236780166626,1.2351019382476807,0.33373212814331055,0.9798456539416553,
static_halo_0p85,0.05798483891698568,2.7726504802703857,1.0286574363708496,0.3788759708404541,0.9590305126740014,
static_halo_0p85,0.005860173676098423,7.718032360076904,4.059256553649902,0.31948959827423096,0.9984825853931836,
static_halo_0p85,0.05766854746886027,8.310897827148438,4.911464214324951,0.06760313361883163,0.9862178191849501,
static_halo_0p85,0.08404011002685262,8.148659706115723,4.14990758895874,0.08889515697956085,0.979583827443321,
static_halo_0p85,0.044298630114810236,3.996023178100586,2.024832248687744,0.18676288425922394,0.9780717317988208,
static_halo_0p85,0.019783279995704672,7.3718438148498535,3.8251564502716064,0.34046706557273865,0.9946471109156738,
static_halo_0p85,0.03685038677434213,12.710041999816895,9.94035816192627,0.0769464373588562,0.9942181379340574,
static_halo_0p85,0.05394623443615158,6.737298011779785,2.710336685180664,0.8068846464157104,0.9841130041917695,
static_halo_0p85,0.037939833210196415,2.994934558868408,1.4152036905288696,0.14481106400489807,0.9749809399892791,
static_halo_0p85,0.05541644083078444,2.796395778656006,1.0704991817474365,0.355145663022995,0.961135981919064,
static_halo_0p85,0.04862582316298336,5.308481693267822,3.0655317306518555,0.0522388219833374,0.9818462395933466,
static_halo_0p85,0.024760151168654522,2.896819591522217,1.0754557847976685,0.41895949840545654,0.983050162344123,
static_halo_0p85,0.031587047009429645,10.432229995727539,5.964309215545654,0.03728516399860382,0.9939626148124686,
static_halo_0p85,0.07161858657638843,3.729457378387451,1.824751615524292,0.17621254920959473,0.9623166770480107,
static_halo_0p85,0.1046819812941487,8.075345039367676,3.9522953033447266,0.5003061890602112,0.9744054680920408,
static_halo_0p85,0.03150192743062416,4.402938365936279,2.0532875061035156,0.43319326639175415,0.9857921517275832,
static_halo_0p85,0.06559221158406632,8.324193954467773,4.631753444671631,0.06717955321073532,0.9843637941931163,
static_halo_0p85,0.04012132437464827,3.7262022495269775,1.960566759109497,0.04277098551392555,0.978694701298282,
static_halo_0p85,0.020646682277835372,4.112072467803955,1.7386969327926636,0.5552495121955872,0.9900081851545965,
static_halo_0p85,0.03137296983652251,3.1854941844940186,1.539054274559021,0.14899423718452454,0.9804947059785866,
static_halo_0p85,0.016814803695489104,3.876737594604492,1.7636982202529907,0.40681079030036926,0.9913627443653612,
static_halo_0p85,0.011088175326151289,8.17269229888916,4.453655242919922,0.05064496397972107,0.9972902070476874,
static_halo_0p85,0.041853109948094616,3.773468017578125,1.6958441734313965,0.41083645820617676,0.9780605047128856,
static_halo_0p85,0.025843074325670744,2.489994525909424,0.9066412448883057,0.2856428623199463,0.9794556895697436,
static_halo_0p85,0.006474020525449356,4.1832356452941895,2.168712854385376,0.14772666990756989,0.9969095612623157,
static_halo_0p85,0.008839642948415648,2.5207324028015137,1.6777015924453735,0.016329435631632805,0.9930109577521088,
static_halo_0p85,0.09031280781270103,8.186981201171875,4.383793354034424,0.09117519855499268,0.9781781805226029,
static_halo_0p85,0.015983476218983297,11.225444793701172,6.152407646179199,0.016315776854753494,0.9971563264319799,
static_halo_0p85,0.13918569989177357,7.134056568145752,3.549314260482788,0.46977612376213074,0.9617266427371933,
static_halo_0p85,0.11807337379192974,9.4381742477417,4.537860870361328,0.5226724147796631,0.9752887580003958,
static_halo_0p85,0.02963777392234766,3.6778433322906494,1.8349195718765259,0.17874445021152496,0.9840119083154972,
static_halo_0p85,0.017221909498687956,10.424964904785156,4.604903697967529,0.6585274934768677,0.9967014745464754,
static_halo_0p85,0.054556479050014386,8.224393844604492,4.516452789306641,0.05470471829175949,0.9868204357032713,
static_halo_0p85,0.030562404274923665,2.7210168838500977,1.0699673891067505,0.2964504659175873,0.9777855543492266,
static_halo_0p85,0.09147013013805787,6.036231517791748,3.1366546154022217,0.33287379145622253,0.9701453708442348,
static_halo_0p85,0.06679012020980503,4.243370532989502,1.785711646080017,0.5824848413467407,0.9690080599848506,
static_halo_0p85,0.15780610092187153,9.361577987670898,4.055400371551514,0.7280966639518738,0.9668453127947695,
static_halo_0p85,0.009863062209966526,4.840999126434326,2.1496567726135254,0.5761651992797852,0.9959334807601604,
static_halo_0p85,0.01866120905897218,3.0862367153167725,1.2130126953125,0.41865941882133484,0.9879795023775385,
static_halo_0p85,0.0656692905548744,2.531144857406616,0.8782402276992798,0.34795740246772766,0.9494231879424831,
static_halo_0p85,0.009789033500483714,8.148199081420898,3.982165575027466,0.4515916407108307,0.9976001353856893,
static_halo_0p85,0.01967337241404208,8.128196716308594,3.318826913833618,0.8083224892616272,0.9951709165217861,
static_halo_0p85,0.0247404814421509,2.522627115249634,1.2990758419036865,0.02724532037973404,0.9805756487801125,
static_halo_0p85,0.09609973588268321,5.503039836883545,2.875424385070801,0.13121792674064636,0.9656733915510501,
static_halo_0p85,0.1413098707959007,9.728865623474121,4.695605278015137,0.5118571519851685,0.9713662901175494,
static_halo_0p85,0.007763599384313737,2.1803557872772217,1.5777174234390259,0.09627550840377808,0.9929038612503142,
static_halo_0p85,0.11429200148655734,8.511740684509277,4.682807922363281,0.1166946217417717,0.973500679710591,
static_halo_0p85,0.04999016079145399,2.9748942852020264,1.1282695531845093,0.423991322517395,0.9669473914233867,
static_halo_0p85,0.01268095894470814,6.221488952636719,3.798753499984741,0.019389566034078598,0.9959317891156125,
static_halo_0p85,0.03782173560361076,2.4795284271240234,0.92208331823349,0.26092106103897095,0.9699511524748472,
static_halo_0p85,0.039084066185307104,7.364038944244385,3.817439079284668,0.34744584560394287,0.9894411949848072,
static_halo_0p85,0.017681451725055163,5.650360584259033,2.958676338195801,0.27946576476097107,0.9937610019076066,
static_halo_0p85,0.04359042395566496,1.8647489547729492,1.3231563568115234,0.11150970309972763,0.9543158576073548,
static_halo_0p85,0.007143395384623567,6.972482681274414,3.5692057609558105,0.3892977833747864,0.9979530721829032,
static_halo_0p85,0.03139567752858744,5.939531326293945,3.270810842514038,0.03554076328873634,0.9894838180039754,
static_halo_0p85,0.08700877135478588,5.695060729980469,3.0276005268096924,0.2584700882434845,0.9699039344529867,
static_halo_0p85,0.007267551055119768,6.062704563140869,3.215665578842163,0.2602238655090332,0.9976054087503556,
static_halo_0p85,0.12342089292617126,8.447909355163574,4.555581092834473,0.12354656308889389,0.9712014613009042,
static_halo_0p85,0.024478466561571117,2.250948429107666,1.1140046119689941,0.0252155102789402,0.9784845062628378,
