source_id,tier,P_vgrf_below_25,vgrf_default,vgrf_mc_p50_kms,vgrf_mc_width_kms,vgrf_mc_sigma_kms,static_Lz_kpc_kms,static_E_mean,retrograde_flag,width_quartile,E_tertile
1770091816663710464,C,0.736000,21.914275,22.009169,4.251488,4.240198,-159.403320,-145110.860385,1,3,2
1772492325424795904,A,0.952000,6.752926,11.514199,6.781078,6.976819,-34.417431,-145695.207635,1,3,2
1773036549320985088,C,0.557200,22.859718,24.431997,4.777721,4.709829,-125.207153,-145188.088584,1,3,2
1795427347707581312,C,0.786000,21.396880,21.615892,3.544159,3.731040,-77.399773,-137012.919487,1,2,3
1822289172704581248,C,0.814000,9.933787,16.860031,8.935283,8.860012,23.966373,-152074.680447,0,4,1
1824364810189816320,C,0.568400,22.780919,24.412311,3.396224,3.700177,21.885092,-153542.532905,0,2,1
1846633734516771840,A,1.000000,12.601231,12.747522,0.376358,0.409984,-3.503108,-145558.082989,1,1,2
1853427857385706496,A,0.986000,16.478097,16.951555,4.069501,4.013720,-81.222893,-138902.715152,1,2,3
1860794585300451328,A,0.998000,18.569714,18.760158,1.891399,1.869357,-84.756203,-146891.744503,1,1,2
1863195815616129536,A,1.000000,10.796199,11.188730,2.943113,2.892643,-66.206161,-146194.507368,1,2,2
1864137238090044160,A,1.000000,19.209082,19.194617,0.952465,0.958541,46.543079,-145077.586531,0,1,2
1867143474676435456,A,1.000000,9.598144,9.950490,2.461903,2.481386,-58.240578,-141931.929033,1,2,2
1868050331250809728,B,0.874000,22.416391,22.488931,2.150054,2.149003,-134.720215,-144354.804473,1,1,2
1871905145997313280,B,0.936000,19.794685,19.842652,2.978323,2.989852,-165.843475,-140799.340602,1,2,3
1879012393449118720,C,0.662500,23.229993,23.357435,3.795798,3.747270,-144.936996,-144180.520049,1,2,2
1894372330371598080,C,0.739800,23.086249,23.419529,2.166563,2.251115,-76.951546,-138635.164542,1,1,3
1894643772304897280,A,0.998000,17.461505,17.754064,1.147731,1.330214,106.110718,-136405.897938,0,1,3
1896464151243451904,A,1.000000,16.986865,17.138915,0.476033,0.514223,-2.582696,-143914.369999,1,1,2
1914244972251267200,C,0.836000,18.637831,18.873587,6.918444,6.862207,-129.641861,-143266.662643,1,3,2
1919442879113907328,A,0.966000,18.533058,19.388324,1.569388,2.119900,8.083212,-142965.002405,0,1,2
1926255277061978624,A,1.000000,16.002485,16.280247,0.623895,0.654538,-0.728522,-138446.175837,1,1,3
1928297143172340736,B,0.880000,19.697474,19.794573,3.163834,3.342498,76.869377,-137497.760223,0,2,3
1936757850788804992,C,0.602400,18.691929,20.499047,14.706971,14.388545,-158.677597,-140818.654207,1,4,3
1958311371069950080,A,0.992000,9.372281,10.419666,3.277837,3.674418,28.606211,-144097.301247,0,2,2
