R_kpc,static_simple,static_full,barred_default,barred_slow,barred_fast,static_full_halo_0p85,static_full_halo_1p15
11.5,211.01431588878415,223.46993116109536,223.4652998982548,223.4652998982548,223.4652998982548,208.30530307716495,237.66893144923225
11.75,210.46245486643025,222.9462194594562,222.94168361848665,222.94168361848665,222.94168361848665,207.5783547326442,237.32100663240183
12.0,209.92338129879764,222.41978420476778,222.41534133534108,222.41534133534108,222.41534133534108,206.8515228949214,236.9674414079764
12.25,209.3968541882199,221.8923146078228,221.88796371414884,221.88796371414884,221.88796371414884,206.12652668014226,236.6099185638984
12.5,208.88259932609495,221.36531081549072,221.36105120783435,221.36105120783435,221.36105120783435,205.40489257277335,236.24993496728217
12.75,208.38031751940676,220.8401062734454,220.8359345315664,220.8359345315664,220.8359345315664,204.68797719031045,235.88882354082034
13.0,207.88969139655705,220.31784317905394,220.3137537104654,220.3137537104654,220.3137537104654,203.9769395587297,235.52773122160102
13.25,207.4103910241314,219.79948909470357,219.79547523369942,219.79547523369942,219.79547523369942,203.27275773637163,235.16763547485823
13.5,206.94207852827174,219.28585939495503,219.2819142545337,219.2819142545337,219.2819142545337,202.5762518933873,234.80936614623116
13.75,206.48441188273347,218.77763683169982,218.7737539547221,218.7737539547221,218.7737539547221,201.88810444889913,234.45362449183136
14.0,206.03704799937412,218.2753886020902,218.27156244970303,218.27156244970303,218.27156244970303,201.2088776572548,234.10099976440688
14.25,205.59964523486158,217.77958125003187,217.7758075585752,217.7758075585752,217.7758075585752,200.53902897988092,233.75198368074854
14.5,205.17186540904794,217.29059368601074,217.2868697180281,217.2868697180281,217.2868697180281,199.87892453247716,233.40698305016136
14.75,204.7533754151299,216.80872857073285,216.8050532811073,216.8050532811073,216.8050532811073,199.22885085737235,233.06633080513006
15.0,204.3438484888893,216.33422227447173,216.3305964089235,216.3305964089235,216.3305964089235,198.58902523674735,232.73029564222966
15.25,203.94296519356496,215.86725359815182,215.86367973772474,215.86367973772474,215.86367973772474,197.95960473637535,232.3990904556978
15.5,203.55041416790138,215.4079561672342,215.4044378014429,215.4044378014429,215.4044378014429,197.34069932905786,232.07288413041405
15.75,203.16589271039177,214.95642925334326,214.9529681302913,214.9529681302913,214.9529681302913,196.73238339270074,231.7518118145413
16.0,202.78910834145506,214.51272476884404,214.50932087002462,214.50932087002462,214.50932087002462,196.1346812281922,231.43596305462788
16.25,202.41977935371293,214.07685156279794,214.07350358052423,214.07350358052423,214.07350358052423,195.54757144402978,231.12538599734674
16.5,202.05763349940483,213.64878227392984,213.64548800755168,213.64548800755168,213.64548800755168,194.97099418063794,230.82009393135561
16.75,201.70240793292714,213.22845914523992,213.22521582838425,213.22521582838425,213.22521582838425,194.4048572482445,230.52007083374795
17.0,201.35384917966047,212.81579917171442,212.8126037409847,212.8126037409847,212.8126037409847,193.84904157691403,230.22527627066233
