external_survey,source_id,tier,P_vgrf_below_25,vgrf_default,radial_velocity,radial_velocity_error,external_rv_kms,external_rv_error_kms,delta_rv_kms,APOGEE,GALAH,Nvis,FlRV,SNR,redflag
APOGEE,4758954541429068160,C,0.6378,22.811916598567837,204.94931,3.9803574,191.0478,0.0416,13.901510000000002,2M05474718-6022097,,1.0,0.0,424.659,
APOGEE,5190241413398589312,C,0.71,20.285177706636706,197.53226,0.5372424,197.8052,0.0285,-0.2729400000000055,2M08221494-8522087,,3.0,0.0,504.982,
APOGEE,5190928676886233216,A,1.0,12.644497245128274,182.49577,0.39214417,183.1903,0.0282,-0.6945300000000145,2M10444002-8445270,,3.0,0.0,340.828,
APOGEE,5283409699413136768,C,0.7253,23.49979834219726,233.97862,0.41480735,234.8094,0.0287,-0.8307800000000043,2M06290841-6655337,,1.0,0.0,181.398,
APOGEE,5499247057459764608,A,1.0,10.288099842567757,208.87582,0.36724302,207.8145,0.0247,1.061319999999995,2M06000493-5613351,,1.0,0.0,258.071,
APOGEE,5817948134948146304,C,0.77,16.541520564568014,138.90494,1.1959827,138.4142,0.0302,0.4907400000000166,2M16492763-6323073,,3.0,0.0,201.049,
APOGEE,6030154733790653696,C,0.6744,8.051889716217733,1.8066487,1.5720041,0.5001,0.025,1.3065487,2M17013595-2820293,,2.0,0.0,153.345,
APOGEE,6031878394370598528,C,0.6432,11.39228634655783,33.303196,1.4912938,33.4978,0.0287,-0.19460399999999822,2M16360731-2943094,,3.0,0.0,283.345,
APOGEE,6301684902703023360,B,0.918,14.39600267690528,81.14782,1.2556386,81.3657,0.0294,-0.21788000000000807,2M13565610-1525370,,1.0,0.0,160.597,
APOGEE,6593097166721332608,C,0.6538,18.73788876229541,-29.85732,2.3297732,-28.1769,0.0935,-1.6804200000000016,2M21423948-3111524,,1.0,0.0,83.387,
APOGEE,6638402508990295168,C,0.778,13.71491195727452,83.197395,3.642405,89.8683,0.133,-6.670905000000005,2M19115711-5930563,,5.0,0.0,121.539,
APOGEE,6734670490101221504,C,0.5126,18.62163742317872,-26.286774,1.5718399,-26.8583,0.0275,0.5715259999999986,2M18323838-3446555,,7.0,0.0,423.085,
GALAH,56993395681126272,C,0.5668,23.345588116733527,-17.790075,6.3312464,-8.557,0.147,-9.233075000000001,,161006005901114.0,,,,0.0
GALAH,609201945132157312,A,1.0,4.157889875560558,114.166565,2.1388378,113.544998,0.314,0.6215669999999989,,160112002301035.0,,,,0.0
GALAH,611725599195677184,B,0.85,15.08598317439236,111.2811,0.3019188,110.561996,0.098,0.7191040000000015,,160331002701217.0,,,,0.0
GALAH,653770752045220608,C,0.778,19.041336961024832,109.568665,1.6695664,102.959999,0.204,6.6086659999999995,,160109002701234.0,,,,0.0
GALAH,2581881592415406592,A,0.964,12.910247720474596,-116.86759,2.2243783,-116.560997,0.093,-0.30659300000000655,,161107002101012.0,,,,0.0
GALAH,2621237610403621632,C,0.601,14.954478168061152,-115.14248,0.6012054,-116.446602,0.377911,1.3041219999999925,,170723003601233.0,,,,1.0
GALAH,3181152499415837056,C,0.732,16.944845356787866,117.37365,0.61358947,116.776001,0.095,0.5976490000000041,,181222001801006.0,,,,0.0
GALAH,3185620781529427328,B,0.944,12.95597921594564,95.96139,0.40045443,95.491997,0.062,0.4693929999999966,,171001003401181.0,,,,0.0
GALAH,3198192769278928896,C,0.724,18.299280291722223,91.72034,1.8854235,92.158997,0.097,-0.4386570000000063,,161211002601039.0,,,,0.0
GALAH,3203188743957945344,A,0.966,11.67967915550222,67.68788,2.7599018,69.655998,0.327,-1.9681179999999898,,160815004801137.0,,,,0.0
GALAH,3254098468785655808,A,0.978,20.518166732935452,54.93379,2.7436075,51.624001,0.143,3.309789000000002,,160923004701384.0,,,,0.0
GALAH,3287575368035203456,C,0.7229,23.00822345515014,50.360374,2.500248,40.161999,0.15,10.198374999999999,,161104003801232.0,,,,1.0
GALAH,3462381464696611840,C,0.5845,23.63491226610003,174.37137,0.38589868,174.960999,0.103,-0.5896289999999738,,150207004101258.0,,,,1.0
GALAH,3582334231916457728,B,0.852,14.501897618314974,133.61772,3.8282247,122.025726,0.688547,11.591993999999985,,190209003601220.0,,,,0.0
GALAH,3583275654387487488,C,0.7,17.58927011528316,124.73006,1.9245963,130.669006,0.086,-5.938946000000001,,170127003001067.0,,,,0.0
GALAH,3799290794021416832,A,1.0,16.917524872439778,126.27183,2.3426604,125.491997,0.076,0.7798329999999964,,150409005601348.0,,,,0.0
GALAH,4247141258918067584,A,0.998,18.303922773894445,-157.10532,0.29724723,-156.817993,0.083,-0.2873270000000048,,160524006601078.0,,,,0.0
GALAH,4324878002304008448,C,0.6226,19.677994962938676,-0.7679927,1.8765361,-1.536,0.09,0.7680073000000001,,150604003901116.0,,,,0.0
GALAH,4395596661758440960,B,0.906,9.495538221632234,-8.602668,0.36150655,-9.962,0.105,1.3593320000000002,,170711002501149.0,,,,0.0
GALAH,4432618322075745664,B,0.934,7.738748052441555,-73.59881,3.5994294,-70.657997,0.071,-2.9408130000000057,,160814000101030.0,,,,0.0
GALAH,4622378047453302016,C,0.798,20.6772046223004,182.15123,2.195867,178.589996,0.102,3.5612339999999847,,160919004601169.0,,,,0.0
GALAH,4635714784197377408,A,0.996,18.43860685779526,138.88412,0.43721274,139.059006,0.076,-0.17488600000001497,,140708007101104.0,,,,0.0
GALAH,4662597225031152768,C,0.778,21.25721285776209,179.38292,1.5722357,178.257004,0.145,1.125916000000018,,161115002701308.0,,,,0.0
GALAH,4697418105437236864,C,0.714,19.61065444503319,158.26479,1.7329545,158.772995,0.105,-0.5082050000000038,,171102003301385.0,,,,0.0
GALAH,4775486282867457792,A,0.998,20.352913390440172,199.50967,0.75615424,202.738007,0.094,-3.2283370000000104,,150108001001334.0,,,,0.0
GALAH,4800353834274758144,C,0.7459,23.624300913437587,180.00868,1.2890359,179.472,0.158,0.5366799999999898,,151225002701377.0,,,,0.0
GALAH,4818793915582515200,A,0.976,18.401229968559527,186.21759,1.1731505,186.613007,0.105,-0.395417000000009,,161119004201318.0,,,,0.0
GALAH,4823751441713753216,A,0.984,18.4260533986405,166.49712,1.5686989,166.962006,0.146,-0.464886000000007,,161118004701203.0,,,,0.0
GALAH,4906531782382508800,C,0.816,18.96229644369545,114.606766,0.68193245,115.101997,0.097,-0.495231000000004,,171106003001028.0,,,,0.0
GALAH,5014129887197566720,C,0.816,14.799381373684277,40.30097,1.871044,36.965,0.114,3.335969999999996,,161115001601009.0,,,,0.0
GALAH,5293589252937639040,A,0.996,20.8127667846894,218.32657,2.2147322,212.938995,0.137,5.387574999999998,,131216002101155.0,,,,0.0
GALAH,5376610455375993216,B,0.948,17.329906762948372,229.77663,0.95999336,232.205597,0.338302,-2.428967,,160519002601186.0,,,,0.0
GALAH,5432536491547215872,C,0.5082,24.90353914789837,225.83255,0.5447616,225.530259,0.596733,0.30229099999999676,,170104003501095.0,,,,0.0
GALAH,5482681613414539136,C,0.5912,24.0745492533005,196.86742,0.5207873,196.304001,0.264,0.5634190000000103,,131119001201344.0,,,,0.0
GALAH,5566151760193226496,B,0.93,21.657768095096188,233.7985,1.6858903,234.319,0.12,-0.5204999999999984,,161118005201009.0,,,,0.0
GALAH,5671614093732317952,B,0.908,12.47681505715705,206.26532,0.26542664,205.956684,0.322066,0.308636000000007,,170216002801326.0,,,,0.0
GALAH,5675967098922897664,C,0.5779,23.719043971317596,239.65137,4.0815325,240.675995,0.214,-1.0246250000000146,,160328001101315.0,,,,0.0
GALAH,5762804461404900352,C,0.504,24.79844296517313,183.77693,0.306018,183.766924,0.477806,0.010006000000004178,,190223002301206.0,,,,0.0
GALAH,5912386837915305984,A,0.988,15.59143172884988,99.99685,1.8870112,101.767998,0.065,-1.7711480000000108,,170416005301013.0,,,,0.0
