source_id,tier,wp5_group,barred_R_peri_kpc,static_R_peri_kpc,barred_ftlyap_norm,barred_ftlyap_tchaos_periods
4185203604269449984,A,tierA_control,0.014670629961386423,0.020300274950789943,0.15909548428095346,30.088211773559905
4199936132366545536,A,tierA_control,0.07476275781407894,0.04842408734231191,0.5524437093959642,2.3296462581095865
4233272259754700544,C,sgrA_table15,0.012430455954383263,0.048052179870157294,0.47140175848800175,2.521677917239578
4247141258918067584,A,tierA_control,0.002786999903732423,0.21365296445590773,0.4680699483564534,16.096281060118116
4381736600433906048,A,tierA_control,0.006073082438703233,0.10083562091972134,0.5435860236739938,8.554394700861746
4439908908802668800,A,tierA_control,0.005958688146487024,0.010641026168717045,0.457561720729534,7.863799549868472
4452364176521571840,A,tierA_control,0.01266662054908426,0.0524166810904834,0.0,inf
4537119583676485888,A,tierA_control,0.03657916460050212,0.176229447672564,0.870658076778424,5.782468253590037
4605148051709428096,A,tierA_control,0.027758468414387973,0.024619876328497162,0.04662865853486467,0.0
4635714784197377408,A,tierA_control,0.009131826614910804,0.011372270200854323,0.32793332056846447,7.121939731886879
4642014676586497920,A,tierA_control,0.008681784156467014,0.05835695808947746,0.5269457678279887,12.881220452446469
4684098381060584832,A,tierA_control,0.013026607588784595,0.12877326253994192,0.7023669023316731,7.561897632405314
4741714714501659008,A,tierA_control,0.010777892913479926,0.19469447003243484,0.5447050871244744,13.079244770769643
4780282558746990080,A,tierA_control,0.009570992325125266,0.00284750122708078,0.05031626166483517,0.0
4796196821328354048,B,static_bridger,0.01649928228904388,0.02746456060506236,0.49364249978588265,5.419205846847174
4796586598199456000,A,tierA_control,0.04205701107661718,0.1145721900761072,0.09419266273075234,0.0
4823853627575696768,B,static_bridger,0.05732007568180668,0.13568029931553188,0.0,inf
5161949360010825216,A,tierA_control,0.008351282346944513,0.004011530579749616,0.4624676559577541,11.36696947946866
5193945771151835904,A,tierA_control,0.04226547960575901,0.33278054851906896,0.45349970404252127,6.209993625693359
5241331148942594944,A,tierA_control,0.015097999616897841,0.03480022036728442,0.21577237880681577,0.0
5269723116106466688,A,tierA_control,0.015165576172594255,0.19077582304318175,0.42152736755089754,0.0
5347352687178469504,A,tierA_control,0.03211484855785657,0.16330088832233525,0.4385497953600741,18.086423326421894
5363539426785394816,A,tierA_control,0.01704010532399305,0.10207710840409671,0.6551998893900981,14.155852021699307
5417729544554281088,A,tierA_control,0.034006856565717836,0.27625150528488457,0.2191293791791215,0.0
5507141928905316736,A,tierA_control,0.045011425088353776,0.25122940401431676,0.6243302114420096,6.510716211840296
5516010937598299392,A,tierA_control,0.06385121703250747,0.004809196939049746,0.9270231591134034,5.8366932111852625
5565366983768870144,A,tierA_control,0.08768438455393648,0.04942180742964999,0.1830933449622479,11.74364415688263
5576846709795882368,A,tierA_control,0.004930638279132144,0.13555582160970658,1.4069467388195755,14.887105539315439
5580533337923969536,A,tierA_control,0.11184278676558435,0.15947077520525202,0.0,inf
5587900649951249280,A,tierA_control,0.014896266419899126,0.12656536424345805,0.898819189019779,0.0
5605836330306291968,B,sgrA_table15,0.008120509440814338,0.044305155516049695,0.0,inf
5734715925043634560,A,tierA_control,0.0019905915287782997,0.0343945696012915,0.40855257388299326,10.168996743809453
5816763754765392384,A,tierA_control,0.015022434816169314,0.12012782145894767,0.7688700181577008,5.543630436626773
5820366064094474624,A,tierA_control,0.1178999189791324,0.11445802273520315,0.18976779545547334,0.0
5833952042146858880,A,tierA_control,0.025114243355661675,0.09624936296475002,0.6760404123420706,9.270735799371675
5890592662052286208,C,sgrA_table15,0.008606392304091553,0.10284428856028878,1.1408934475317276,17.232163788822522
5901919109275348096,A,tierA_control,0.0186609447372678,0.07613508503042063,0.6743315479360357,11.920699801984453
5912386837915305984,A,tierA_control,0.020164358706504102,0.10269873735097154,0.4690129919270486,0.0
6219455181136976128,A,tierA_control,0.02607155208147253,0.024784691765349764,0.15415154731726577,0.0
6280536488033208576,A,tierA_control,0.010036814810257004,0.24469266828278885,0.7162339054288135,0.0
6360165216061082368,A,tierA_control,0.01947435209296481,0.1101716218920278,0.18488899976460962,0.0
6463700350533317120,A,tierA_control,0.015748380028686046,0.06290296442624835,0.3939170755847502,24.69030350285026
6568723429179272960,A,tierA_control,0.01912326539971493,0.0038359266808639584,0.09773061420810551,19.79258213036842
6703740265916081280,A,tierA_control,0.02158938325808194,0.14786610302594994,0.6057027366489399,16.289893582571857
6724074320421945472,A,tierA_control,0.008032384902517673,0.06602881096536742,0.5466700843100881,13.840580159448235
6753448980447680384,A,tierA_control,0.10852539732886608,0.09219513062563389,0.6695413533685693,20.5586910585493
6804324036296102528,A,tierA_control,0.019753989587878867,0.054191491826202025,0.13385781452521725,0.0
6849260148812422400,A,tierA_control,0.014548387318929578,0.07375557896508987,0.388218482932149,0.0
