variant,R_peri_kpc,R_apo_kpc,z_max_kpc,min_r_sph_kpc,ecc
mcmillan17,0.03865065027557686,8.158429145812988,0.13500627875328064,0.038665831089019775,0.9905696537701099
mcmillan17,0.0768092958445558,3.9882967472076416,1.9446994066238403,0.12167485058307648,0.9622104343497592
mcmillan17,0.02553286721456791,7.1671037673950195,3.041537284851074,0.5716773867607117,0.9929002760707503
mcmillan17,0.09763438248931096,12.550435066223145,8.491657257080078,0.5432550311088562,0.9845613778632043
mcmillan17,0.0038886906579295873,6.8092942237854,2.497922420501709,0.7404690384864807,0.998858480476229
mcmillan17,0.023035558235151285,3.0221309661865234,1.4100971221923828,0.03432745859026909,0.9848707398755305
mcmillan17,0.03457914539089037,2.795680046081543,1.0766955614089966,0.4043603241443634,0.975564679379841
mcmillan17,0.015386895732463246,5.3051958084106445,2.614605665206909,0.02085687778890133,0.9942160862491689
mcmillan17,0.005279664762388033,2.8716204166412354,1.0303080081939697,0.4906456768512726,0.9963296154798591
mcmillan17,0.09020622386455629,10.428783416748047,4.882818222045898,0.09398723393678665,0.9828488805585891
mcmillan17,0.04933521076421674,3.6308765411376953,1.5796672105789185,0.26180487871170044,0.9731889281975578
mcmillan17,0.04987899599663875,7.996304988861084,3.3391387462615967,0.5737135410308838,0.9876018256379652
mcmillan17,0.01214935395455541,4.4605937004089355,2.051959991455078,0.35317426919937134,0.9945673812213724
mcmillan17,0.1226039942286704,8.263574600219727,4.022665023803711,0.12355495244264603,0.9707604619081607
mcmillan17,0.08150681429959934,3.554441452026367,1.5107394456863403,0.28663331270217896,0.9551661309075995
mcmillan17,0.009613206077514688,4.161854267120361,1.695261001586914,0.5411299467086792,0.9953909715756957
mcmillan17,0.05267828336408777,3.1886188983917236,1.4872304201126099,0.15890119969844818,0.9674955547670256
mcmillan17,0.003950114319288127,3.9335663318634033,1.7645548582077026,0.3570028245449066,0.9979936011070545
mcmillan17,0.059060127164947504,8.172143936157227,4.222352504730225,0.05921408161520958,0.9856496991908835
mcmillan17,0.07173451265600553,3.771993637084961,1.610975742340088,0.43532678484916687,0.9626745129408594
mcmillan17,0.008254862339884221,2.4553170204162598,0.8986461162567139,0.37838757038116455,0.9932984603390999
mcmillan17,0.024534350565856063,4.2564849853515625,2.1492903232574463,0.02601519040763378,0.9885380800035098
mcmillan17,0.02745541201998599,2.2022688388824463,1.391829490661621,0.028071792796254158,0.9753732668881598
mcmillan17,0.14707591969417125,8.174776077270508,3.954692840576172,0.14852698147296906,0.9646530796875947
mcmillan17,0.019834439617332573,11.008966445922852,4.445404529571533,0.39383363723754883,0.9964031557332154
mcmillan17,0.18052033974202195,7.133342266082764,3.245112419128418,0.4643036127090454,0.950636114055997
mcmillan17,0.05364219534784584,9.43717098236084,3.9240939617156982,0.5250606536865234,0.9886959748667612
mcmillan17,0.056397140338606724,3.6526236534118652,1.7657084465026855,0.13932675123214722,0.9695892023934548
mcmillan17,0.047546641692752474,10.608864784240723,4.636373043060303,0.2684919536113739,0.9910764253007268
mcmillan17,0.10894489564309548,8.223939895629883,3.8104233741760254,0.11054401844739914,0.9738518176185053
mcmillan17,0.012260870904949463,2.7117862701416016,1.062776803970337,0.3666227459907532,0.9909980479264108
mcmillan17,0.11440413844076493,6.111160755157471,2.9393062591552734,0.1156083196401596,0.9632469854877242
mcmillan17,0.032988794578250276,4.241894245147705,1.6563539505004883,0.5952963829040527,0.9845662235566732
mcmillan17,0.20327018279383233,9.497511863708496,4.055282115936279,0.5143086314201355,0.9580920008676781
mcmillan17,0.014805538710778011,4.921714782714844,2.1542346477508545,0.4904291033744812,0.9940016295905767
mcmillan17,0.007572700873912947,3.085921049118042,1.1817818880081177,0.46521690487861633,0.9951041110886792
mcmillan17,0.04866286477443281,2.5304224491119385,0.9183757901191711,0.4070231020450592,0.9622634702990079
mcmillan17,0.03907968194905154,8.158624649047852,3.7403478622436523,0.3866253197193146,0.990465701037476
mcmillan17,0.0710207008948962,8.33021354675293,3.315687656402588,0.6378660202026367,0.983092793558332
