source_id,adopted_P,adopted_tier,P_independent,P_copula,delta_P,tier_independent,tier_copula
4198261026404593664,0.4771,D,0.465,0.4695,0.0044999999999999485,subC,subC
4198647848348631424,0.332,D,0.3295,0.335,0.005500000000000005,subC,subC
4198652620035272064,0.4414,D,0.456,0.4365,-0.019500000000000017,subC,subC
4198863180839388416,0.4626,D,0.464,0.4655,0.0015000000000000013,subC,subC
4198932484426569856,0.5682,C,0.5785,0.571,-0.007500000000000062,C,C
4199936132366545536,0.978,A,0.9805,0.978,-0.0025000000000000577,A,A
4200750664325648256,0.4804,D,0.468,0.496,0.02799999999999997,subC,subC
4200923322013269120,0.704,C,0.7035,0.7015,-0.0020000000000000018,C,C
4201057977831370112,0.3574,X,0.345,0.354,0.009000000000000008,subC,subC
4201362473825811456,0.4038,D,0.406,0.396,-0.010000000000000009,subC,subC
4202312589348119680,0.5052,C,0.527,0.5,-0.027000000000000024,C,subC
4202565202122077824,0.3407,D,0.341,0.331,-0.010000000000000009,subC,subC
4203937250873926016,0.514,C,0.523,0.5115,-0.011500000000000066,C,C
4203940622507198976,0.361,X,0.3765,0.3635,-0.013000000000000012,subC,subC
4204406162547510912,0.3676,X,0.377,0.364,-0.013000000000000012,subC,subC
4206046423410846976,0.814,C,0.8115,0.8085,-0.0030000000000000027,C,C
4206879994964845824,0.448,D,0.4385,0.439,0.0005000000000000004,subC,subC
4209540710026282752,0.5874,C,0.5815,0.5715,-0.010000000000000009,C,C
4210785357188830976,0.6382,C,0.6275,0.6245,-0.0029999999999998916,C,C
4210965058626791424,0.4358,X,0.4345,0.4495,0.015000000000000013,subC,subC
4212483449832235520,0.6204,C,0.615,0.6135,-0.0014999999999999458,C,C
4213393123892057344,0.6336,C,0.635,0.6495,0.014499999999999957,C,C
4219897456719813120,0.624,C,0.632,0.639,0.007000000000000006,C,C
4220450820307545728,0.664,C,0.6695,0.689,0.019499999999999962,C,C
4222562260586379136,0.6092,C,0.6065,0.5935,-0.013000000000000012,C,C
4224301997218875904,0.6376,C,0.6225,0.636,0.013499999999999956,C,C
4225321862971693312,0.53,C,0.5565,0.5635,0.007000000000000006,C,C
4225840145265828736,1.0,A,0.998,0.9975,-0.0004999999999999449,A,A
4227059709818450304,0.5087,C,0.5135,0.5035,-0.010000000000000009,C,C
4232677801921373824,0.529,C,0.4985,0.53,0.03150000000000003,subC,C
4233272259754700544,0.5048,C,0.542,0.534,-0.008000000000000007,C,C
4233367642387220992,0.4115,D,0.3995,0.3965,-0.0030000000000000027,subC,subC
4233747897318977664,0.6404,C,0.6365,0.663,0.02650000000000008,C,C
4236124221123201536,0.786,C,0.7665,0.774,0.007500000000000062,C,C
4239827032694148096,0.5025,C,0.5035,0.5295,0.026000000000000023,C,C
4240021440094368128,0.81,C,0.8115,0.812,0.000500000000000056,C,C
4241821100113255808,0.724,C,0.7515,0.716,-0.035499999999999976,C,C
4241942493067177856,0.6232,C,0.6435,0.6325,-0.01100000000000001,C,C
4246979836868122112,0.6384,C,0.6195,0.631,0.011499999999999955,C,C
4247141258918067584,0.998,A,0.998,0.9965,-0.0014999999999999458,A,A
4247972180464843136,0.4769,D,0.4815,0.469,-0.012500000000000011,subC,subC
4249507648453453696,0.5352,C,0.5495,0.5185,-0.031000000000000028,C,C
4250731611051699968,0.906,B,0.906,0.917,0.01100000000000001,B,B
4254009869393663744,0.5752,C,0.555,0.566,0.010999999999999899,C,C
4262122139237216768,0.545,C,0.55,0.538,-0.01200000000000001,C,C
4284432398373277952,0.3853,X,0.3825,0.3775,-0.0050000000000000044,subC,subC
4287640292264861056,0.7002,C,0.6915,0.692,0.0004999999999999449,C,C
4288398817856966528,0.4627,D,0.4635,0.4485,-0.015000000000000013,subC,subC
4288788148058574848,0.449,D,0.447,0.4395,-0.007500000000000007,subC,subC
