source_id,static_E
1906717921807774464,-125753.36916522082
78171462803918464,-135127.90597355348
6731373810620076544,-182139.32314614492
1764739565859765760,-147232.71790476155
4212483449832235520,-168495.78953360126
6140333053091707776,-148961.4490638898
6506705789348370560,-147761.41835687417
5923746992090768256,-179812.5780702688
1178304520808040576,-147854.33367623843
4296807917137931776,-160443.55939987907
4049449274523729024,-212705.2015279181
5499247057459764608,-131535.16831203492
5451033202001300608,-133635.23991470505
1344863597361993984,-146294.46402438512
4048087117027624064,-210779.19577541086
1596864687420604160,-137641.2211659564
4044845584894967936,-204811.30892863605
5784074827379395328,-148558.40744326077
1059923131798151168,-122030.24453884206
4036710916847561984,-195774.4613298919
653284836625084800,-129410.80066255602
1357290621375866752,-134138.3988184452
4049319802607350272,-192297.36101388998
2327135468498505472,-136938.08068815476
1736238162882461440,-150474.73993497418
4642478120737587584,-135714.26176901424
4084326534843631744,-176402.4308275831
4037945870210062848,-187634.06432875595
5572405060775591936,-136419.4137332379
4037479986524656256,-186195.62303318013
2820482865549001600,-142798.44974041794
6222997945040074496,-157604.11161863702
5807717179240222464,-159798.08428282826
4077630857014425088,-170977.67821876451
4796196821328354048,-111662.84069895768
6732805031169552128,-179219.36715328725
4123554571495125376,-191999.34228268766
6028715576145221504,-158419.30164492188
5269723116106466688,-143781.08679982973
1994900983444750848,-132651.45986688847
3971465931154563840,-130915.35913704746
1663528863390894080,-136224.86999099146
4123334119402135424,-198703.4529587974
4064862675145695616,-190113.5259495881
5435711851067877376,-129659.02320909956
4037928449820979072,-193898.68457532683
4047405312345623296,-189822.95264928494
6402882067434142720,-151879.3291629302
6765039619710660480,-171978.82658823373
269374713809672192,-118411.0132422965
1520192065123316352,-128399.16823983652
488553942968868736,-139114.73908200723
4172069525551590400,-177341.15683639725
4296315679553899008,-157404.48960687694
4102400272623108224,-179970.70277773167
6437427520190587008,-163446.41638901702
5956646231077755904,-201998.747222615
6766376144814377600,-172472.7017114248
6013696045451226112,-169522.5849263376
4065165929822667136,-188718.69833049926
3665969030558887936,-148463.66493970077
6761613163540275840,-186358.79841052205
6030108760460881920,-199156.75391979516
4044586856102001664,-212634.92840955805
4051212233917888640,-207260.45101539572
4739193774857114368,-137802.99974502812
2162762122306358784,-143521.11162162022
4129699638817840256,-183555.50141886628
4565312745433934720,-151740.32504800562
4052848685177498240,-198052.01128155386
6192730314072199296,-149202.07454723617
2067806477040504192,-145218.2769355457
4419118312148954240,-153461.69587662697
6707982765897294080,-188971.56484856916
4136403086336551168,-191145.30596423332
1846633734516771840,-145557.87719338914
1111648900414688768,-118836.43298467174
4775380798470634112,-125520.10316635815
