variant,R_peri_kpc,R_apo_kpc,z_max_kpc,min_r_sph_kpc,ecc,EJ_drift_rel,source_id
static_halo_0p85,0.0395343802890102,3.455286741256714,1.7126634120941162,0.1422773897647857,0.97737544846271,,4139276556887926400
static_halo_0p85,0.0665918805981095,3.190720319747925,1.3368958234786987,0.3756136894226074,0.9591123745577504,,4076649027478050688
static_halo_0p85,0.0046823097890653,5.856846332550049,3.106919527053833,0.2596676647663116,0.9984023588129404,,4469009098941937408
static_halo_0p85,0.0068925497015911,2.501630544662476,0.9555416703224182,0.240701824426651,0.9945046950398212,,4089437928231677568
static_halo_0p85,0.0241783389353022,6.098780632019043,2.535295009613037,0.7448914647102356,0.9921024004733668,,6333764361329271808
static_halo_0p85,0.0282044755267294,7.73357629776001,3.8936712741851807,0.3944065868854522,0.9927324730366518,,1772492325424795904
static_halo_0p85,0.0204986235921878,3.884831190109253,1.6649203300476074,0.5009003281593323,0.9895022317857658,,4185203604269449984
static_halo_0p85,0.0471805625722593,6.067317485809326,2.717682123184204,0.6366270184516907,0.9845676416284908,,6108497003152436096
static_halo_0p85,0.0057537209488499,11.461366653442385,6.4774370193481445,0.0209243688732385,0.9989964837272138,,5516010937598299392
static_halo_0p85,0.0186578202475449,4.826474189758301,2.137450933456421,0.578926146030426,0.9922983232617754,,6870071807985278720
static_halo_0p85,0.0699827873859557,7.137035846710205,4.0172438621521,0.072011187672615,0.9805792683662924,,1165218034631512576
static_halo_0p85,0.0156410493632312,7.175169467926025,3.297768831253052,0.6018876433372498,0.995649711718693,,6132947118094648320
static_halo_0p85,0.0805138084158676,8.195273399353027,4.486250877380371,0.0831235945224762,0.980542320290622,,5465519061538436352
static_halo_0p85,0.0864754781730097,5.858264446258545,3.1155946254730225,0.1856746673583984,0.97090689272457,,4405926028044557056
static_halo_0p85,0.0060299371211598,3.183218002319336,1.3330070972442627,0.3714707195758819,0.9962185836688396,,6761283447501038848
static_halo_0p85,0.1017489208296511,10.83408546447754,5.591495037078857,0.3267220258712768,0.9813916492798472,,4001466724394139136
static_halo_0p85,0.0135043141370636,1.757908582687378,1.2315630912780762,0.195256695151329,0.98475305880264,,4038271226927734912
static_halo_0p85,0.0200642260458202,3.123708963394165,1.3719079494476318,0.2719958424568176,0.9872355765910744,,4123634801473573376
static_halo_0p85,0.0647547197909756,5.8812456130981445,3.0458812713623047,0.3286778032779693,0.9782190662073132,,4482408125594381184
static_halo_0p85,0.0731143063986494,4.077878952026367,1.6360116004943848,0.6133260726928711,0.9647726209864332,,4372608759839749376
static_halo_0p85,0.0311508379979198,2.5555193424224854,0.9617422223091124,0.2796916365623474,0.9759143332352818,,4049838158028311424
static_halo_0p85,0.0142857949409753,3.137062788009644,2.3454067707061768,0.0347510986030101,0.9909335355547372,,6717568651857762304
static_halo_0p85,0.0200739198642789,4.608949184417725,2.0305724143981934,0.5639785528182983,0.9913269303643312,,6865189907638173952
static_halo_0p85,0.0721937541649043,9.079340934753418,4.863314151763916,0.0770539864897728,0.9842225907197129,,3168941121415464704
static_halo_0p85,0.057776143362812,2.971295118331909,1.1953788995742798,0.3593999743461609,0.9618522389397424,,4045426191412981632
static_halo_0p85,0.0258631305921233,7.172214984893799,4.024686813354492,0.0260029900819063,0.9928138788778964,,6209253362502782464
static_halo_0p85,0.0007788473921461,4.705119609832764,2.5184996128082275,0.0886092633008956,0.9996689909911036,,6648152428350894848
static_halo_0p85,0.0060648629290729,10.575520515441896,4.101954936981201,0.839504063129425,0.9988536948458652,,722905328777590784
static_halo_0p85,0.024586173348651,2.6846930980682373,1.7043962478637695,0.0256134271621704,0.981850395706314,,4046672144244076160
static_halo_0p85,0.040410325024045,4.357588768005371,1.839427471160889,0.5921239256858826,0.9816233136163705,,4186954404726221184
static_halo_0p85,0.1196255614176088,9.749351501464844,4.214767932891846,0.7188865542411804,0.9757572521132866,,4796586598199456000
static_halo_0p85,0.0145684407271772,3.631426334381104,1.624233365058899,0.3884924352169037,0.9920085235301828,,4130887278868131072
static_halo_0p85,0.0225688702267453,3.0335230827331543,1.1877843141555786,0.4076197445392608,0.9852302413840088,,4078031697672879744
static_halo_0p85,0.0160288371492842,6.793070316314697,2.7388057708740234,0.8054537177085876,0.9952919360438068,,6192851977609915520
static_halo_0p85,0.0128075612469844,7.184266567230225,3.467365264892578,0.0549736022949218,0.9964408977819728,,2040754058596128896
static_halo_0p85,0.0215954099085133,3.0764029026031494,1.3102126121520996,0.3106947243213653,0.986058475357267,,5957334044324505344
static_halo_0p85,0.0115792476100179,3.673985481262207,1.8797351121902464,0.0962827801704406,0.9937164323723268,,4158036694857592192
static_halo_0p85,0.0120456228220081,2.996676445007324,1.2402331829071045,0.3303392231464386,0.991992864378664,,6720923364932035712
static_halo_0p85,0.0366450372521647,2.769117832183838,1.026300311088562,0.3772926330566406,0.973878735333374,,4123037594829403520
static_halo_0p85,0.0316625383322422,7.716075420379639,4.049929141998291,0.3215284645557403,0.9918266367548892,,3617059489180390144
static_halo_0p85,0.1046312656725702,8.442765235900879,4.590688228607178,0.1061796993017196,0.9755173951148028,,2739862584191154688
static_halo_0p85,0.0354075047533224,8.14953327178955,4.42904806137085,0.0385559760034084,0.9913481341600426,,2712478319387225600
static_halo_0p85,0.0746496757179466,3.983244419097901,2.0001091957092285,0.2130537331104278,0.96320767670437,,4039081974959195392
static_halo_0p85,0.0254494079342022,7.371370792388916,3.812966346740722,0.3449904918670654,0.9931188247801156,,4605148051709428096
static_halo_0p85,0.1001401036197574,12.49709415435791,10.0443754196167,0.122747004032135,0.984101255629768,,4751364750101200512
static_halo_0p85,0.0040424068437699,6.73759651184082,2.706791400909424,0.8050923943519592,0.998800764356404,,6568723429179272960
static_halo_0p85,0.0214387324193339,2.996656656265259,1.4221991300582886,0.1378673464059829,0.9857932042176588,,4126182816520536064
static_halo_0p85,0.0321659311715173,2.796135187149048,1.0724737644195557,0.3517352938652038,0.9772542386217934,,4036193768463500032
static_halo_0p85,0.0138510941317433,5.311155796051025,2.5114448070526123,0.0353784784674644,0.9947977178556222,,4110909844184739072
static_halo_0p85,0.0048666056193032,2.884210586547852,1.0595568418502808,0.4245257675647735,0.9966310310901364,,6022125554441500288
static_halo_0p85,0.0867081593248051,10.407700538635254,5.626048564910889,0.0901570171117782,0.9834753606762694,,528886469017207424
static_halo_0p85,0.0443203970924636,3.743509292602539,1.8370097875595093,0.1455674916505813,0.9765985270071462,,4077922055803817088
static_halo_0p85,0.0497196480793549,8.114069938659668,4.055946350097656,0.4442856907844543,0.9878194685075868,,3572451065491937280
