source_id,P_forward_below_25,P_latent_below_25,delta_P
6028715576145221504,0.9995,0.9919856468696436,-0.0075143531303564215
5269723116106466688,1.0,0.9999999999999998,-2.220446049250313e-16
1994900983444750848,1.0,1.0000000000000002,2.220446049250313e-16
3971465931154563840,0.6975,0.19334304114554324,-0.5041569588544568
1663528863390894080,1.0,1.0000000000000002,2.220446049250313e-16
6697703466039061888,0.482,0.09734902007554457,-0.3846509799244554
4123334119402135424,0.702,0.1500151934122055,-0.5519848065877945
4064862675145695616,0.524,0.1262946784190151,-0.3977053215809849
5435711851067877376,0.9985,0.9809832518442506,-0.01751674815574944
4037928449820979072,0.6905,0.1995099857299495,-0.4909900142700505
4047405312345623296,0.532,0.12138639514368976,-0.41061360485631027
6402882067434142720,0.9255,0.5598508377539758,-0.3656491622460242
6765039619710660480,0.542,0.12507567142115808,-0.416924328578842
269374713809672192,0.5135,0.11497579158619023,-0.39852420841380976
1520192065123316352,0.739,0.2823984082359431,-0.4566015917640569
488553942968868736,1.0,1.0000000000000002,2.220446049250313e-16
4172069525551590400,0.6285,0.16457958837890435,-0.4639204116210956
4296315679553899008,0.9065,0.5976025060032503,-0.3088974939967497
4102400272623108224,0.7125,0.2304983515966986,-0.4820016484033014
6437427520190587008,0.861,0.46400875276330783,-0.39699124723669216
5956646231077755904,0.5755,0.11444656327354363,-0.4610534367264564
6766376144814377600,0.73,0.22536455067939332,-0.5046354493206067
6013696045451226112,0.835,0.41362126055552617,-0.4213787394444738
4065165929822667136,0.499,0.10245513403894582,-0.3965448659610542
3665969030558887936,0.9615,0.7670351428944817,-0.1944648571055183
6761613163540275840,0.712,0.2609222620054835,-0.45107773799451645
6030108760460881920,0.5865,0.14771314766584984,-0.43878685233415016
4044586856102001664,0.608,0.14304503990756146,-0.46495496009243853
4051212233917888640,0.6035,0.1507270523550433,-0.45277294764495674
4739193774857114368,0.948,0.6960422491639188,-0.2519577508360812
2162762122306358784,0.9705,0.7428503063296802,-0.22764969367031984
4129699638817840256,0.542,0.13563585098892172,-0.4063641490110783
4565312745433934720,0.784,0.3641689167889841,-0.4198310832110159
4052848685177498240,0.6045,0.14651677519233172,-0.4579832248076683
6192730314072199296,0.9345,0.6276788898669617,-0.30682111013303826
