source_id,P_forward,P_latent,delta
4049449274523729024,0.696,0.18582286092385877,-0.5101771390761412
5499247057459764608,0.9995,0.9919927487050458,-0.00750725129495422
5451033202001300608,0.94,0.7396235776649271,-0.2003764223350728
1344863597361993984,1.0,0.9999999999999999,-1.1102230246251565e-16
4048087117027624064,0.568,0.10956681663035779,-0.45843318336964217
1596864687420604160,0.9385,0.6642011847169581,-0.2742988152830419
4044845584894967936,0.5725,0.13475394939284102,-0.437746050607159
5784074827379395328,0.8585,0.42898644233366634,-0.4295135576663337
1059923131798151168,0.9455,0.6213806078709182,-0.3241193921290818
4036710916847561984,0.524,0.1109392187669408,-0.4130607812330592
653284836625084800,0.9505,0.6800772174332667,-0.27042278256673336
1357290621375866752,0.8565,0.4064652156478077,-0.45003478435219235
4049319802607350272,0.556,0.11103343450516458,-0.4449665654948355
2327135468498505472,0.7685,0.24225017574471489,-0.5262498242552851
1736238162882461440,0.838,0.3076931649487745,-0.5303068350512254
4642478120737587584,0.77,0.37081823828744315,-0.39918176171255687
4084326534843631744,0.6475,0.14671769862761455,-0.5007823013723854
4037945870210062848,0.6745,0.16736891638067247,-0.5071310836193275
5572405060775591936,0.8555,0.40749534221617667,-0.44800465778382337
4037479986524656256,0.6365,0.16110472361623443,-0.47539527638376555
2820482865549001600,0.96,0.780990721494668,-0.179009278505332
6222997945040074496,0.918,0.5669243345684934,-0.3510756654315066
5807717179240222464,0.683,0.17015766622780118,-0.5128423337721989
4077630857014425088,0.8835,0.3954171751166185,-0.48808282488338145
4796196821328354048,0.8975,0.4979598982196959,-0.3995401017803041
6732805031169552128,0.71,0.24978226339826995,-0.46021773660173004
4123554571495125376,0.633,0.12447458635258998,-0.50852541364741
6892121341147904512,0.4195,0.12156830839772736,-0.2979316916022726
6028715576145221504,0.9995,0.994579308337415,-0.0049206916625850194
5269723116106466688,1.0,1.0,0.0
1994900983444750848,1.0,1.0,0.0
3971465931154563840,0.6975,0.19854067088983796,-0.49895932911016205
1663528863390894080,1.0,1.0,0.0
6697703466039061888,0.482,0.1014535983108753,-0.3805464016891247
4123334119402135424,0.702,0.15564817836003703,-0.546351821639963
4064862675145695616,0.524,0.12462727827534181,-0.3993727217246582
5435711851067877376,0.9985,0.9869126164093691,-0.01158738359063094
4037928449820979072,0.6905,0.19542218220159302,-0.495077817798407
4047405312345623296,0.532,0.12908478010417157,-0.40291521989582846
6402882067434142720,0.9255,0.5658062672768935,-0.35969373272310645
6765039619710660480,0.542,0.13163467574718415,-0.4103653242528159
269374713809672192,0.5135,0.11667851842722485,-0.3968214815727751
1520192065123316352,0.739,0.28870002689425855,-0.45029997310574144
488553942968868736,1.0,1.0,0.0
4172069525551590400,0.6285,0.1659053928277682,-0.4625946071722318
4296315679553899008,0.9065,0.5998878922490748,-0.3066121077509252
4102400272623108224,0.7125,0.23074797971730637,-0.48175202028269365
6437427520190587008,0.861,0.4488448340152269,-0.4121551659847731
5956646231077755904,0.5755,0.12044795778830407,-0.45505204221169593
6766376144814377600,0.73,0.23971753028447113,-0.49028246971552886
6013696045451226112,0.835,0.4174073095927903,-0.41759269040720964
4065165929822667136,0.499,0.10964706550390371,-0.3893529344960963
3665969030558887936,0.9615,0.773442077369067,-0.18805792263093302
6761613163540275840,0.712,0.2709225268116816,-0.44107747318831836
6030108760460881920,0.5865,0.1485309715809646,-0.4379690284190354
4044586856102001664,0.608,0.15290871536218562,-0.45509128463781434
4051212233917888640,0.6035,0.15943745931784298,-0.44406254068215706
4739193774857114368,0.948,0.7297028723658908,-0.21829712763410913
2162762122306358784,0.9705,0.7817831365139835,-0.18871686348601657
4129699638817840256,0.542,0.13987087966964884,-0.4021291203303512
4565312745433934720,0.784,0.3682785801795139,-0.4157214198204861
4052848685177498240,0.6045,0.15713076901615453,-0.4473692309838455
6192730314072199296,0.9345,0.6346769704733691,-0.29982302952663087
2067806477040504192,0.8415,0.3011304931516616,-0.5403695068483384
4419118312148954240,0.65,0.2000649519395312,-0.4499350480604688
6707982765897294080,0.7365,0.2300707174822953,-0.5064292825177048
4136403086336551168,0.762,0.3060941579299174,-0.4559058420700826
1846633734516771840,1.0,0.9999999999999998,-2.220446049250313e-16
1111648900414688768,0.8105,0.331474183303601,-0.479025816696399
4775380798470634112,0.7345,0.21036875435290187,-0.5241312456470981
4991818081849977984,0.46,0.1158536752564354,-0.3441463247435646
845653054556641280,0.8325,0.29299135644846924,-0.5395086435515308
5178116823799476608,0.356,0.08303542672325129,-0.2729645732767487
5923244343452644736,0.603,0.13984248169056743,-0.4631575183094325
4240021440094368128,0.8255,0.30096415134646326,-0.5245358486535368
4123487466918347904,0.7395,0.2909846079917215,-0.44851539200827856
2884470147318511104,0.826,0.4275793263515439,-0.39842067364845607
1697445537228565248,0.9325,0.5921680971733045,-0.34033190282669545
4038017926970566528,0.584,0.15002823192136824,-0.4339717680786317
6849260148812422400,0.9995,0.9965203780824979,-0.0029796219175021177
3582334231916457728,0.829,0.3757328670135803,-0.4532671329864197
4073590598386404480,0.59,0.14353756310537868,-0.4464624368946213
5045570250395862784,0.6855,0.21107162592312614,-0.4744283740768739
6327275181141353984,0.6285,0.13640834302077973,-0.4920916569792202
6733415324537129984,0.685,0.16792963060175017,-0.5170703693982499
2261071037466684288,0.891,0.53736379496529,-0.35363620503471005
6729428671475801984,0.6875,0.2162398916939258,-0.47126010830607423
4123672116155038848,0.5725,0.10484255392510636,-0.4676574460748937
4657255866327694336,0.9455,0.7693083024843196,-0.17619169751568042
3641934737167858432,0.7475,0.209094051736436,-0.538405948263564
523562736800603392,0.99,0.932454480891878,-0.057545519108122
6648330927187267200,0.7345,0.23516328247608395,-0.49933671752391606
6637312446288486016,0.883,0.3550568154870474,-0.5279431845129526
4112655451932785152,0.563,0.11367361666270773,-0.44932638333729225
4735913897311324928,0.8255,0.48839007550435426,-0.33710992449564575
1362491586253153408,0.9765,0.8500505616452301,-0.12644943835476996
6728019303748754944,0.6025,0.17196211750559504,-0.430537882494405
6358856797224069632,0.876,0.5128369129570234,-0.3631630870429766
1446401812558862336,0.8175,0.36112373460013314,-0.45637626539986687
4409488269621527168,0.5955,0.16965833585006182,-0.4258416641499382
1289705840640686720,0.917,0.5244138315733242,-0.3925861684266758
6872017634330137728,0.6725,0.18317529572721516,-0.48932470427278485
6295959475074414336,0.4415,0.09617817614174569,-0.34532182385825433
6730360988619748736,0.585,0.16017672885499887,-0.42482327114500107
4991186859097037696,0.5845,0.1464551817425866,-0.4380448182574134
