source_id,tier,vgrf_default_exact,rect_t_min_myr_p16,rect_t_min_myr_p50,rect_t_min_myr_p84,rect_abs_t_min_myr_p50,rect_d_min_pc_p16,rect_d_min_pc_p50,rect_d_min_pc_p84,v_radial_sph_kms_p50,p_rect_past,p_rect_near_now,p_rect_future,p_rect_d_lt_100_pc,p_rect_d_lt_500_pc,p_rect_d_lt_1000_pc
4627302725674241536,B,2.065629919203976,-190.8198486173198,6.419086066699032,203.78911044099684,122.50077982094217,7220.935341323163,7635.751239803892,7822.324974258791,-0.19499587693774992,0.4536,0.0546,0.4918,0.0,0.0,0.0
3535960301790560896,A,13.977423655219765,-359.275922003633,-232.2140395196756,-156.81212107047125,232.2140395196756,7131.733961095807,7638.254464077145,7926.746719546617,6.022192105631834,1.0,0.0,0.0,0.0,0.0,0.0
2412075421803599744,A,15.1287480463704,-217.59166388134395,-144.97025111731023,-89.52256477244767,144.97025111731023,7488.634300040342,7647.7074379327005,7767.97632542802,4.4662797516362245,1.0,0.0,0.0,0.0,0.0,0.0
5208650536582846080,A,15.895415530866796,-21.2084238165829,107.34339541540031,188.12296157797525,119.17712804945393,7031.230641961593,7649.607194568041,7921.009626816723,-3.674434709162808,0.178,0.0376,0.7844,0.0,0.0,0.0
4448470393528560640,A,18.744541825584307,-151.05245377291132,-106.11054050486585,-67.07258473797744,106.11054050486585,7435.79318655874,7667.729560453186,7817.248810564901,4.806749166206583,0.9972,0.0026,0.0002,0.0,0.0,0.0
4972664245698380544,B,19.08097942055971,-139.26146542235963,-97.7298481372249,-73.45086925024066,97.7298481372249,7629.00535609257,7668.762821742877,7720.423239215976,4.824619152690774,1.0,0.0,0.0,0.0,0.0,0.0
2560193656837956864,A,17.388856611825215,166.32844653058723,182.46766842504525,198.95883820043656,182.46766842504525,7583.8159961336305,7687.001557612955,7780.415919184017,-6.831273726745673,0.0,0.0,1.0,0.0,0.0,0.0
3207133104484108928,A,12.11997175668297,-11.320949636277062,278.1535802606691,446.5338972469655,284.672648357925,5650.8118074456,7706.2464840598495,8653.232503854078,-5.800808800935091,0.162,0.0168,0.8212,0.0,0.0,0.0
2308195315557676416,A,4.795911026603852,67.98473863188218,240.35347844712345,643.2090374952692,240.35347844712345,7242.902543519185,7713.27008436322,7919.867936353952,-2.263190888487278,0.0,0.0076,0.9924,0.0,0.0,0.0
1894643772304897280,A,19.958960318299447,221.93650994951238,251.03189078055595,266.9490031644113,251.03189078055595,7621.008161823175,7719.195852360041,7866.656370995659,-11.249641888464211,0.0,0.0,1.0,0.0,0.0,0.0
1864137238090044160,A,20.24813786409561,-113.47499184646762,-106.60990999553226,-99.24173075531704,106.60990999553226,7709.357802191652,7738.861363056329,7772.658260608941,5.5992466499678315,1.0,0.0,0.0,0.0,0.0,0.0
3527216573008812544,B,18.16966441933438,-1.869187847978196,50.740436282263154,63.77257443831589,51.56690481310062,7648.940733439519,7751.235880940185,7823.534433050497,-2.297581009965265,0.1328,0.0774,0.7898,0.0,0.0,0.0
2071829452678601472,A,21.07196862990327,8.519608156748674,41.246778221143884,66.74805289856126,42.297625257724576,7677.7709926019725,7769.375411953622,7810.981132098809,-2.4201289373745487,0.0708,0.0994,0.8298,0.0,0.0,0.0
5248805422789911936,A,22.26137599005793,-94.67753927141199,-76.10248846814389,-58.97575060202686,76.10248846814389,7707.819889144024,7805.608350754804,7876.216908093382,4.817562118062515,1.0,0.0,0.0,0.0,0.0,0.0
5293589252937639040,A,20.8127667846894,-229.88077376468468,-185.7329693873981,-147.29900686049987,185.7329693873981,7452.482185381411,7809.533370477911,8084.339461693535,9.431249395804056,1.0,0.0,0.0,0.0,0.0,0.0
5269723116106466688,A,13.960103069394515,67.47672818758174,149.27463016415734,260.57351956735675,149.27463016415734,7364.540863766629,7811.107746958454,8064.666721639448,-3.780461089613839,0.0156,0.019,0.9654,0.0,0.0,0.0
6025048640456450688,A,15.201762732915109,26.087360511412182,113.49065845530178,173.5283787114192,116.41252534851859,7456.247793010478,7811.388432704616,7990.912285233173,-3.3707250374746422,0.0936,0.0316,0.8748,0.0,0.0,0.0
366349822607618944,A,17.52778751483447,-348.6688877861166,-212.80468783073775,-70.77409325986784,212.80468783073775,6036.686629482262,7832.900232178592,8633.260532949815,8.223326374407932,0.947,0.0276,0.0254,0.0,0.0,0.0
4643902052719519232,B,19.44835145545284,-123.51132567329857,-68.98226961822533,-28.849451505408993,68.98226961822533,7640.144115104894,7836.552302385187,7933.173923548897,3.5011680764231494,0.9582,0.0412,0.0006,0.0,0.0,0.0
5219760276947902080,A,22.630144775784444,-76.21359592781228,-64.67683796734646,-51.46981138577568,64.67683796734646,7792.789556455468,7843.600954371112,7893.7763912747805,4.243869593717028,1.0,0.0,0.0,0.0,0.0,0.0
5436609293074804224,A,14.216500832426448,-520.0881126814935,-326.05493408367937,-232.72283513208126,326.05493408367937,6827.156558866355,7854.515853588039,8415.548851868441,7.402037935800102,1.0,0.0,0.0,0.0,0.0,0.0
5816763754765392384,A,8.111841795104436,-78.65817414636551,161.25201024637158,312.3634976008346,202.38582486685038,7458.202923568286,7857.340892303907,8026.1285413547375,-1.4176023706906358,0.2246,0.0228,0.7526,0.0,0.0,0.0
5858494000669975040,A,17.77599082678816,-27.29574243101387,10.833503485494443,68.21818299724228,29.17328451839247,7789.435720505243,7861.917713679106,7879.4717192730495,-0.44569744136702555,0.3102,0.1812,0.5086,0.0,0.0,0.0
1222923084917622400,B,23.523649228444143,-56.3667127173276,-43.62047622839647,-33.212262763898806,43.62047622839647,7847.981161466686,7884.643725701888,7910.674258861963,3.1319378851048776,1.0,0.0,0.0,0.0,0.0,0.0
1380366823526081152,B,21.429470490114188,-13.328260902642405,6.769219332655847,33.835168388489706,15.200401107552146,7861.527353830739,7890.071079364456,7897.466626774246,-0.4176203085400164,0.2154,0.3366,0.448,0.0,0.0,0.0
2408666106828333824,A,16.873370030194003,44.28522159215409,64.32242494399591,76.79123712039417,64.32242494399591,7873.399078604058,7905.399099977535,7939.893585102635,-2.362409596231089,0.0,0.0,1.0,0.0,0.0,0.0
1528927066531942656,A,10.626539762555565,177.4770366669662,216.19195645534626,262.1912660063161,216.19195645534626,7842.4429171314105,7916.837673396509,7992.562643246336,-3.0731491492024805,0.0,0.0,1.0,0.0,0.0,0.0
314046191913369216,B,24.09144936362113,-110.54416205054146,-104.0145275859719,-97.46215497234424,104.0145275859719,7864.020249038295,7917.138316161904,7967.7412551925945,7.409539089573288,1.0,0.0,0.0,0.0,0.0,0.0
1914244972251267200,B,16.14876187858841,-275.8744376440082,-147.8397286161358,-96.4886713895359,148.25540934874704,7780.539652292168,7932.785886747186,8030.346461186223,4.8611921576461565,0.997,0.0002,0.0028,0.0,0.0,0.0
1005941508922499840,B,18.71824626653675,-340.9470026707944,-282.97607872184113,-146.0585586788668,282.97607872184113,6880.014619516252,7936.705091662748,9189.804345878172,11.168441276573649,0.986,0.0064,0.0076,0.0,0.0,0.0
6339969661358792832,B,21.984411898390267,-29.357101174041574,-9.241842539476561,18.55658110645995,18.613483320503384,7921.64008297047,7954.613140726508,7964.589077855868,0.5724495224623167,0.4878,0.2782,0.234,0.0,0.0,0.0
5241331148942594944,A,9.327405632589633,-148.45733686210065,-107.50650494480927,-72.12784496937957,107.50650494480927,7902.265255853701,7964.5843980505015,8002.010872420555,1.1981002931089495,0.9962,0.003,0.0008,0.0,0.0,0.0
6442613023182705280,A,23.599026130684717,-32.016226081954876,-20.86514635231616,-11.502105726643105,20.86514635231616,7948.540358622705,7970.142701593125,7982.105994925635,1.4879990987821767,0.8804,0.1196,0.0,0.0,0.0,0.0
5393675563031498496,A,15.91123209005496,-207.86127352871665,-115.16258196845504,-41.47239807721568,115.16258196845504,7572.963783555768,7971.788548976178,8134.708166178078,3.6516228854454678,0.936,0.0366,0.0274,0.0,0.0,0.0
3896383443190677376,A,14.998534953967916,91.51253000168992,133.41838508832745,199.15003144003842,133.41838508832745,7860.645077100766,7975.94508456015,8049.121110041292,-3.768446203020556,0.0,0.0,1.0,0.0,0.0,0.0
4941344588261325056,A,20.531019974207144,81.44978900205494,87.68653059734021,92.74292214851182,87.68653059734021,7986.1256327039155,7998.035503481193,8009.568010936076,-4.633864369620692,0.0,0.0,1.0,0.0,0.0,0.0
5495094962252842112,A,9.598974694216295,-680.9071958145138,-264.13213284143126,-49.65964767019543,264.13213284143126,6298.0722248089905,8006.488849067894,8514.615905223265,3.6607107391433216,0.9242,0.0504,0.0254,0.0,0.0002,0.001
2020424226064132608,A,15.995911716547784,-108.72864085580726,-75.43089617740455,-6.312123857799387,81.20250467120181,7833.5966606466,8007.703780754555,8104.739746726217,2.5028931479504677,0.829,0.0448,0.1262,0.0,0.0,0.0
2150921618998507520,A,15.070698849843428,77.48003800811819,105.05285869392367,145.8631703143026,105.05285869392367,7950.353124227948,8021.091493744878,8068.6972979077955,-3.119717000983486,0.0,0.0,1.0,0.0,0.0,0.0
1697445537228565248,B,12.369754919484707,308.20750032109885,676.027823563444,1207.3902219852885,676.027823563444,4166.371106529354,8022.134176176,9786.745855031872,-10.244335016432933,0.0,0.0,1.0,0.0,0.0,0.0006
1347177897539700736,A,17.775563702809105,10.768583643062385,40.87050568519363,96.86710018047545,40.87050568519363,7936.3081980798715,8036.10969923899,8066.870145440103,-1.6418095769974959,0.0118,0.1414,0.8468,0.0,0.0,0.0
2156811153033660672,B,19.63714547330602,279.5783469539759,360.2754930440186,433.8285825085839,360.2754930440186,7460.106759285084,8060.365125852244,9579.616940191667,-13.767710850234634,0.0,0.0,1.0,0.0,0.0,0.0
2723656916668111104,B,22.834080623432428,-10.408361033617636,-0.5446129297290694,7.72331796883777,6.043095737207365,8056.688024952033,8060.7389062062175,8062.223780194429,0.03571095429997688,0.1728,0.7282,0.099,0.0,0.0,0.0
3478729965651844608,B,17.614469022077586,-98.37589984736377,42.73774572795094,94.96383930540591,72.68370972382127,7791.969614383595,8066.401339390304,8210.040195935873,-1.8602718514602985,0.321,0.0496,0.6294,0.0,0.0,0.0
1590327094361257856,B,17.506454469957383,-312.58113432441286,-206.77041341757504,-117.8956816691205,206.77041341757504,7546.90843924134,8077.06715780765,8410.025898456728,7.4690511428948065,1.0,0.0,0.0,0.0,0.0,0.0
1447056090696792960,A,16.63516480203439,40.22131610429789,59.214973293376964,119.83364331495285,59.214973293376964,8018.708661633034,8078.593590046066,8101.312475979411,-2.2070973393805793,0.0,0.0,1.0,0.0,0.0,0.0
2639947316874830848,A,12.951010249868434,96.60922916094462,119.62669602473684,148.83884507997888,119.62669602473684,8031.47018217738,8081.92356462098,8119.804784771709,-2.678178110122072,0.0,0.0,1.0,0.0,0.0,0.0
797525781341967488,B,12.262159849553182,152.56776342035016,393.24352314154254,852.4891570400911,393.24352314154254,5412.391676676295,8093.5114104026325,9132.455058949416,-7.403574350150624,0.0,0.0,1.0,0.0,0.0,0.0004
643909953807675008,A,7.64092145553661,175.8681530861281,518.9826688957799,921.7182543750496,518.9826688957799,6651.500186788228,8099.469592264812,9152.717065346698,-4.945882017550831,0.0,0.0,1.0,0.0,0.0,0.0
