R_kpc,static_simple,static_full,barred_default,barred_slow,barred_fast,static_full_halo_0p85,static_full_halo_1p15
4.5,236.71940335990257,245.38410008777163,246.8649881545064,246.8649881545064,246.8649881545064,243.08699521780878,247.65989967644757
4.75,237.38663470900923,245.2507178494185,246.5111197326533,246.5111197326533,246.5111197326533,242.86394882389502,247.61448175131977
5.0,237.7696544188366,244.83193436307462,245.91480669660936,245.91480669660936,245.91480669660936,242.3555228796719,247.28354716327277
5.25,237.91885145614285,244.18420102912427,245.12238007332,245.12238007332,245.12238007332,241.61832471745592,246.72339415870877
5.5,237.87668617748886,243.35420167626438,244.1731521509225,244.1731521509225,244.1731521509225,240.6991793051187,245.9805683968272
5.75,237.6788302774998,242.3804615507584,243.1001909355106,243.1001909355106,243.1001909355106,239.63673857864876,245.09347157055356
6.0,237.35517269885813,241.29472223466001,241.9311377757033,241.9311377757033,241.9311377757033,238.46285707788363,244.09373558298515
6.25,236.93069566634924,240.12310114596633,240.6889875567906,240.6889875567906,240.6889875567906,237.20375234772905,243.00738112260947
6.5,236.4262312293818,238.8870609029034,239.39279534944,239.39279534944,239.39279534944,235.8809752747186,241.85578603188833
6.75,235.85911071333496,237.60421514464286,238.05829731676602,238.05829731676602,238.05829731676602,234.51221688611835,240.65649012682303
7.0,235.24371957477075,236.28899600195706,236.69844608629973,236.69844608629973,236.69844608629973,233.11197676848056,239.4238616978624
7.25,234.5919694751578,234.95320580091987,235.32386678072663,235.32386678072663,235.32386678072663,231.6921156692936,238.1696482949611
7.5,233.91369843986246,233.60647258780818,233.94324236416065,233.94324236416065,233.94324236416065,230.262311860664,236.90343139435333
7.75,233.2170089500811,232.25662611615888,232.5636375394546,232.5636375394546,232.5636375394546,228.83043790281812,235.63300159130284
8.0,232.5085527931671,230.9100082429182,231.19077005339915,231.19077005339915,231.19077005339915,227.40287175469737,234.36466826551677
8.25,231.7937704980859,229.5717293188305,229.8292374486731,229.8292374486731,229.8292374486731,225.98475381908693,233.10351530211514
8.5,231.07709222516198,228.245880140347,228.48270632767137,228.48270632767137,228.48270632767137,224.5801994928794,231.85361243211588
8.75,230.36210607907813,226.9357073347351,227.15407021341542,227.15407021341542,227.15407021341542,223.19247509794042,230.61819006029936
9.0,229.65169898510584,225.64375864080486,225.84558118021633,225.84558118021633,225.84558118021633,221.82414365891455,229.3997840388888
9.25,228.94817452012626,224.3720033848465,224.55895961278617,224.55895961278617,224.55895961278617,220.47718583143381,228.20035568269947
9.5,228.25335142624337,223.121932496424,223.29548574526248,223.29548574526248,223.29548574526248,219.1531003290795,227.02139136660662
9.75,227.5686459549422,221.89464162673144,222.05607602742484,222.05607602742484,222.05607602742484,217.8529874152975,225.86398526445376
10.0,226.89514068941173,220.6909002930224,220.8413468549945,220.8413468549945,220.8413468549945,216.5776183870279,224.72890814955784
10.25,226.23364206516564,219.5112094504917,219.65166777299277,219.65166777299277,219.65166777299277,215.32749345443847,223.61666465508338
10.5,225.58472844661597,218.3558494665173,218.48720590418228,218.48720590418228,218.48720590418228,214.10288999443682,222.5275409663236
10.75,224.94879031167062,217.22492012367053,217.34796305784653,217.34796305784653,217.34796305784653,212.90390280691022,221.46164456866072
11.0,224.32606383993323,216.1183739928908,216.23380672794718,216.23380672794718,216.23380672794718,211.73047771741432,220.41893739018332
11.25,223.71665898545288,215.03604428487674,215.14449598567091,215.14449598567091,215.14449598567091,210.58243963648675,219.39926344479906
11.5,223.1205829357879,213.97766809644864,214.07970310239438,214.07970310239438,214.07970310239438,209.4595159942811,218.4023718905758
11.75,222.53775970976085,212.9429058115933,213.03903159914802,213.03903159914802,213.03903159914802,208.3613563120015,217.42793626117447
12.0,221.96804652186526,211.9313572877684,212.0220313027135,212.0220313027135,212.0220313027135,207.28754854232864,216.47557049926726
12.25,221.411247437704,210.94257535169717,211.02821089237509,211.02821089237509,211.02821089237509,206.23763270453819,215.54484231463502
12.5,220.8671247586134,209.97607704115134,210.05704834160204,210.05704834160204,210.05704834160204,205.21111225214926,214.63528430204303
12.75,220.3354085018469,209.03135295672405,209.10799959271472,209.10799959271472,209.10799959271472,204.20746353832493,213.74640318162264
13.0,219.815804282896,208.10787502758788,208.18050574752922,208.18050574752922,208.18050574752922,203.2261436841316,212.87768746459304
13.25,219.30799985670254,207.2051029454793,207.2739990111515,207.2739990111515,207.2739990111515,202.26659710490978,212.0286137975095
13.5,218.8116705329655,206.32248947982754,206.38790758789756,206.38790758789756,206.38790758789756,201.3282609085964,211.19865219699489
13.75,218.32648364606223,205.45948485257432,205.52165969645645,205.52165969645645,205.52165969645645,200.4105693453838,210.38727035262738
14.0,217.8521022311387,204.6155403225857,204.67468684478473,204.67468684478473,204.67468684478473,199.51295745937986,209.5939371470918
