r_kpc,static_simple,static_full,barred_default,barred_slow,barred_fast,static_full_halo_0p85,static_full_halo_1p15
107.3030303030303,654092978544.0673,420562156775.39923,420562156775.39923,420562156775.39923,420562156775.39923,371991147330.4485,469133166220.35
109.31818181818181,661107915137.8611,424511571251.5659,424511571251.5659,424511571251.5659,424511571251.5659,375355116896.01495,473668025607.1169
111.33333333333333,668026920995.0193,428406092512.43243,428406092512.43243,428406092512.43243,428406092512.43243,378672174908.23444,478140010116.6304
113.34848484848484,674852522492.5399,432247201569.18463,432247201569.18463,432247201569.18463,432247201569.18463,381943593686.6165,482550809451.75275
115.36363636363636,681587153567.4506,436036321413.6782,436036321413.6782,436036321413.6782,436036321413.6782,385170595293.8158,486902047533.5405
117.37878787878788,688233156004.9738,439774819422.15625,439774819422.15625,439774819422.15625,439774819422.15625,388354353581.56915,491195285262.74335
119.39393939393939,694792784806.7997,443464012179.3013,443464012179.3013,443464012179.3013,443464012179.3013,391495998675.30365,495432025683.29877
121.4090909090909,701268212264.8744,447105164946.16705,447105164946.16705,447105164946.16705,447105164946.16705,394596616120.0792,499613713772.2549
123.42424242424242,707661531812.2015,450699496162.53577,450699496162.53577,450699496162.53577,450699496162.53577,397657251077.5394,503741741247.53204
125.43939393939394,713974761663.8162,454248179215.532,454248179215.532,454248179215.532,454248179215.532,400678909804.85986,507817448626.2043
127.45454545454545,720209848260.3451,457752344592.55927,457752344592.55927,457752344592.55927,457752344592.55927,403662561532.9364,511842127652.1822
129.46969696969697,726368669525.8715,461213081910.0363,461213081910.0363,461213081910.0363,461213081910.0363,406609140234.50574,515817023585.56683
131.48484848484847,732453037951.1173,464631441329.2036,464631441329.2036,464631441329.2036,464631441329.2036,409519545792.70886,519743336865.69824
133.5,738464703512.3165,468008437355.81805,468008437355.81805,468008437355.81805,468008437355.81805,412394647566.1933,523622227145.4428
135.5151515151515,744405356435.5123,471345047540.5959,471345047540.5959,471345047540.5959,471345047540.5959,415235282866.9257,527454812214.26587
137.53030303030303,750276629815.4282,474642216095.97205,474642216095.97205,474642216095.97205,474642216095.97205,418042260365.627,531242171826.31696
139.54545454545453,756080102097.4891,477900854912.83966,477900854912.83966,477900854912.83966,477900854912.83966,420816360907.8711,534985348917.8081
141.56060606060606,761817299431.0466,481121844997.79913,481121844997.79913,481121844997.79913,481121844997.79913,423558338760.7889,538685351234.8093
143.57575757575756,767489697901.3534,484306037832.76855,484306037832.76855,484306037832.76855,484306037832.76855,426268922791.6707,542343152873.8664
145.5909090909091,773098725647.3655,487454256661.8284,487454256661.8284,487454256661.8284,487454256661.8284,428948817582.81384,545959695740.84283
147.6060606060606,778645764872.0077,490567297709.83246,490567297709.83246,490567297709.83246,490567297709.83246,431598704486.64856,549535890933.0162
149.62121212121212,784132153751.1163,493645931336.99713,493645931336.99713,493645931336.99713,493645931336.99713,434219242624.88586,553072620049.1084
151.63636363636363,789559188246.894,496690903133.389,496690903133.389,496690903133.389,496690903133.389,436811069835.164,556570736431.6139
153.65151515151516,794928123831.3376,499702934956.9586,499702934956.9586,499702934956.9586,499702934956.9586,439374803568.4242,560031066345.493
155.66666666666666,800240177124.7615,502682725918.52106,502682725918.52106,502682725918.52106,502682725918.52106,441911041740.02203,563454410097.0199
157.6818181818182,805496527454.2208,505630953316.84845,505630953316.84845,505630953316.84845,505630953316.84845,444420363537.37085,566841543096.326
159.6969696969697,810698318336.3397,508548273526.82855,508548273526.82855,508548273526.82855,508548273526.82855,446903330186.71985,570193216866.9371
161.71212121212122,815846658888.7682,511435322843.4448,511435322843.4448,511435322843.4448,511435322843.4448,449360485681.4961,573510160005.3937
163.72727272727272,820942625174.2306,514292718284.14954,514292718284.14954,514292718284.14954,514292718284.14954,451792357474.4704,576793079093.8287
165.74242424242425,825987261480.8878,517121058352.03107,517121058352.03107,517121058352.03107,517121058352.03107,454199457135.8591,580042659568.2029
167.75757575757575,830981581542.5061,519920923762.0209,519920923762.0209,519920923762.0209,519920923762.0209,456582280979.3301,583259566544.7115
169.77272727272728,835926569701.702,522692878132.23944,522692878132.23944,522692878132.23944,522692878132.23944,458941310657.756,586444445606.723
171.78787878787878,840823182019.359,525437468642.4416,525437468642.4416,525437468642.4416,525437468642.4416,461277013730.43036,589597923554.4526
173.8030303030303,845672347333.0912,528155226661.39996,528155226661.39996,528155226661.39996,528155226661.39996,463589844203.3587,592720609119.441
175.8181818181818,850474968267.4843,530846668344.9487,530846668344.9487,530846668344.9487,530846668344.9487,465880243044.1255,595813093645.772
177.83333333333334,855231922198.669,533512295206.296,533512295206.296,533512295206.296,533512295206.296,468148638672.7478,598875951739.8442
179.84848484848484,859944062175.624,536152594660.118,536152594660.118,536152594660.118,536152594660.118,470395447429.83307,601909741890.4027
181.86363636363637,864612217800.4812,538768040541.8518,538768040541.8518,538768040541.8518,538768040541.8518,472621074023.2793,604915007060.4243
