source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__M_H_,e__M_H_,__a_M_,e__a_M_,__C_Fe_,e__C_Fe_,__N_Fe_,e__N_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ce_Fe_,e__Ce_Fe_
1276308497615415168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276308497615415168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1278201616118918912,4876.6,13.2,2.087,0.035,-0.7206,0.0106,-0.7145,0.0097,0.2836,0.0108,-0.1703,0.0278,0.4958,0.0303,0.3914,0.034,0.341,0.0189,0.2813,0.0281,0.2358,0.0219,0.2223,0.026,0.1739,0.0351,-0.1473,0.0268,0.0687,0.022,0.106,0.1044
1278410145371588096,4766.7,9.9,2.258,0.032,-0.9149,0.0091,-0.9077,0.0085,0.3099,0.0097,0.0015,0.0234,0.0207,0.0259,0.4396,0.0255,0.3819,0.0169,0.2754,0.0218,0.2835,0.0183,0.2864,0.0223,0.1224,0.0281,-0.1986,0.0236,0.0674,0.0183,-0.0911,0.0702
1288956935783694464,4040.0,5.0,1.349,0.022,-0.1603,0.0087,-0.1582,0.0069,0.0847,0.005,0.0169,0.0094,0.1571,0.0113,0.1189,0.0091,0.1265,0.011,0.0279,0.0199,0.0321,0.0125,-0.0097,0.0126,0.056,0.0149,0.007,0.0134,-0.0082,0.0109,-0.143,0.0321
1289464738358094592,4407.1,7.2,1.651,0.028,-0.6,0.0091,-0.6012,0.0079,0.3052,0.0074,0.0603,0.0148,0.1594,0.0174,0.3549,0.0147,0.371,0.014,0.2208,0.0211,0.2767,0.0155,0.1437,0.0174,0.1392,0.021,-0.161,0.0186,0.07,0.0147,-0.2751,0.0476
1289464738358094592,4405.8,7.1,1.622,0.028,-0.5898,0.0091,-0.5942,0.0079,0.3046,0.0073,0.0413,0.0147,0.1772,0.0173,0.3577,0.0146,0.3516,0.014,0.2152,0.0211,0.2628,0.0155,0.1419,0.0173,0.0927,0.0209,-0.1368,0.0185,0.0674,0.0147,-0.3323,0.0475
1291009346034377344,4829.2,15.5,2.326,0.039,-0.5254,0.0129,-0.5473,0.0113,-0.0015,0.0117,-0.2714,0.03,-0.5216,0.0426,0.1842,0.0373,-0.0899,0.0211,-0.314,0.0368,-0.1019,0.0259,0.0878,0.0301,-0.1197,0.041,-0.2546,0.0304,-0.1484,0.0264,-1.9176,0.1307
1291037211782258432,4676.6,16.6,2.402,0.044,-0.5736,0.016,-0.5507,0.0138,0.2343,0.0134,0.0514,0.0328,-0.1796,0.0349,0.2852,0.0374,0.386,0.0247,0.421,0.0471,0.0764,0.0308,0.2769,0.0363,0.2548,0.0466,-0.2093,0.0364,0.0613,0.0328,0.0571,0.139
1291292745156394368,5042.9,26.0,2.459,0.066,-1.7185,0.0168,-1.7467,0.0174,0.255,0.0278,0.6283,0.0958,-0.2092,0.0823,0.2541,0.0971,0.2605,0.041,-0.242,0.0441,0.1969,0.0433,0.0893,0.07,0.5453,0.0776,-0.5232,0.0678,-0.0329,0.055,0.6284,0.1786
1292957818077597696,4356.2,7.2,1.679,0.029,-0.7486,0.0096,-0.7514,0.0084,0.2923,0.0081,0.0229,0.0162,0.0803,0.0187,0.3368,0.0153,0.3454,0.0152,0.2746,0.0218,0.2494,0.0165,0.1823,0.0192,0.0991,0.0221,-0.208,0.0205,0.069,0.0162,-0.0626,0.0461
1293302343174823424,4831.7,16.8,2.783,0.042,-0.637,0.0139,-0.6432,0.0124,0.2706,0.0132,0.0486,0.0344,0.077,0.0364,0.4442,0.0419,0.3034,0.0234,0.3027,0.0401,0.2458,0.0285,0.2439,0.0341,0.1897,0.0455,-0.1455,0.0343,0.0635,0.03,0.207,0.1414
1294797472829916032,4796.9,17.4,2.219,0.048,-0.9492,0.0152,-0.9484,0.014,0.4297,0.0161,0.2288,0.0429,0.4666,0.0433,0.6022,0.0472,0.4307,0.0274,0.4505,0.0423,0.4801,0.0321,0.3201,0.0416,0.2636,0.0512,-0.268,0.0417,0.1068,0.0358,0.5279,0.1387
1294948552599222400,4710.7,18.4,2.02,0.053,-1.0606,0.0176,-1.0298,0.0161,0.3297,0.0184,-0.0325,0.048,-0.0232,0.0474,0.4647,0.0493,0.2993,0.0312,0.356,0.0492,0.4052,0.0366,0.2461,0.0489,-0.1528,0.057,-0.3232,0.0486,0.1271,0.0425,0.2702,0.1445
1294948552599222400,4742.0,12.2,2.153,0.039,-1.0112,0.0114,-1.003,0.0106,0.3507,0.0123,-0.0328,0.0306,0.0209,0.0324,0.5503,0.0321,0.3627,0.0211,0.3813,0.0284,0.3804,0.0233,0.2588,0.0296,0.1483,0.0359,-0.1894,0.0307,0.0445,0.0247,0.1938,0.0877
1295156497736159744,4838.6,18.6,2.778,0.045,-0.6302,0.0152,-0.6258,0.0135,0.2869,0.0142,0.1352,0.0378,-0.1028,0.0395,0.3122,0.0464,0.4362,0.0252,0.2339,0.0453,0.1952,0.0313,0.2342,0.0377,0.3444,0.0504,-0.311,0.0376,0.0843,0.0335,-0.2646,0.1605
1296748384414375424,4821.8,10.3,2.398,0.032,-0.8845,0.009,-0.8815,0.0083,0.3025,0.0097,0.0473,0.0239,-0.0393,0.0264,0.5245,0.027,0.3424,0.0167,0.2411,0.0216,0.2753,0.0182,0.2428,0.0221,0.0657,0.0285,-0.209,0.0233,0.0419,0.0181,-0.0473,0.0743
1296760131148956288,4372.4,11.2,1.591,0.039,-0.7282,0.0144,-0.7323,0.0124,0.2819,0.0118,-0.048,0.025,0.3927,0.0273,0.3193,0.0239,0.3122,0.022,0.2671,0.0372,0.2733,0.0254,0.1813,0.0306,0.0589,0.0349,-0.1354,0.0316,0.0524,0.0271,-0.1757,0.0793
1299773862457979392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301175430545557376,5102.0,14.1,2.299,0.035,-0.847,0.0092,-0.8505,0.0087,0.3393,0.011,-0.0924,0.0321,0.477,0.0342,0.4908,0.0433,0.343,0.0184,0.2268,0.0239,0.3319,0.0208,0.2857,0.0253,-0.1924,0.0361,-0.2165,0.0261,-0.0049,0.0206,0.2477,0.1144
1304145898646755840,5610.8,45.6,4.52,0.057,-1.3725,0.0163,-1.3916,0.0178,0.2024,0.1741,0.2369,0.09,-0.4971,11.2748,0.2962,0.1163,0.2864,0.0255,-0.0569,0.0245,0.2116,0.0256,0.3829,0.0337,0.1935,0.1271,,,-0.2984,0.0351,,
1304145898646755840,5444.1,46.0,4.328,0.067,-1.4292,0.0176,-1.4661,0.0177,0.2449,0.0216,0.3413,0.0801,-0.3911,0.527,0.1303,0.0947,0.279,0.0259,-0.1027,0.0268,0.2555,0.026,0.3032,0.0345,,,0.1489,0.0581,-0.157,0.0377,,
1305657005580124672,4161.4,6.3,1.238,0.029,-0.7295,0.01,-0.7441,0.0086,0.1635,0.0078,-0.1179,0.0147,0.1247,0.017,0.1817,0.0131,0.181,0.0151,-0.0702,0.0221,0.1094,0.0162,0.0993,0.0187,0.0019,0.0205,-0.1349,0.0201,-0.0332,0.0159,-0.1208,0.0384
1306088976211516032,4852.7,12.1,2.087,0.042,-1.4542,0.0105,-1.4625,0.0105,0.3128,0.0147,-0.1292,0.04,-0.1247,0.0399,0.434,0.0393,0.3375,0.0233,-0.149,0.0241,0.2749,0.0236,0.2797,0.0333,0.0274,0.0381,-0.4491,0.0347,0.0551,0.0262,-0.1202,0.0815
1310644802641279872,4119.7,6.3,1.302,0.028,-0.5568,0.0103,-0.5538,0.0086,0.2735,0.0072,0.0457,0.0136,0.1192,0.0159,0.3173,0.0125,0.3223,0.0145,0.2022,0.0235,0.1838,0.0161,0.1485,0.0179,0.2029,0.0201,-0.0744,0.0191,0.0909,0.0155,-0.2358,0.0397
1311049216761404544,3976.8,7.6,1.183,0.033,-0.5271,0.0137,-0.5311,0.0113,0.3021,0.0089,0.1533,0.0168,0.1661,0.019,0.3341,0.0151,0.3235,0.0182,0.168,0.0335,0.2096,0.0209,0.1556,0.0236,0.2256,0.0253,-0.0437,0.0247,0.081,0.0212,,
1311072856261734528,4051.4,5.6,1.217,0.027,-0.5485,0.0097,-0.5606,0.0081,0.2991,0.0067,0.1223,0.0124,0.1983,0.0145,0.3253,0.0112,0.3721,0.0136,0.0721,0.0215,0.1891,0.0149,0.0706,0.0164,0.1018,0.0181,-0.0894,0.0176,0.0781,0.0141,-0.3129,0.0339
