source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__M_H_,e__M_H_,__a_M_,e__a_M_,__C_Fe_,e__C_Fe_,__N_Fe_,e__N_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ce_Fe_,e__Ce_Fe_
2713355489148180480,5116.6,20.2,2.343,0.041,-0.6754,0.0121,-0.6726,0.0112,0.124,0.0133,-0.4848,0.0402,0.4341,0.0417,0.3128,0.0577,0.1587,0.0225,-0.103,0.0357,0.0645,0.0275,0.0861,0.0331,0.0187,0.0487,-0.1928,0.0331,-0.0936,0.0282,-0.1786,0.1751
2728314787225296000,5520.3,51.0,4.582,0.06,-0.6982,0.02,-0.7136,0.0181,0.2352,0.0299,0.1328,0.0983,-0.0803,0.1416,0.0889,0.1507,0.3376,0.0305,0.3046,0.0434,0.1494,0.0344,0.1465,0.0445,-0.6733,0.1496,-0.2888,0.0611,0.0523,0.0483,,
2729064001321068160,4690.1,11.4,2.614,0.032,-0.4077,0.0109,-0.4006,0.0094,0.25,0.0089,0.1175,0.0204,0.0519,0.0234,0.3267,0.0242,0.3186,0.0168,0.3245,0.0294,0.1625,0.0202,0.2124,0.0222,0.2178,0.03,-0.1613,0.023,0.0709,0.0195,-0.45,0.0905
2770680108412906496,4559.8,8.9,1.425,0.034,-1.0291,0.01,-1.0513,0.0093,0.1961,0.0104,-0.4339,0.023,0.2331,0.0253,0.3146,0.0218,0.1182,0.0181,-0.2049,0.0228,0.1803,0.0191,0.1378,0.0241,-0.1743,0.0275,-0.2739,0.0256,-0.066,0.0198,-0.2177,0.0578
2782342456447431424,4360.2,6.9,1.681,0.027,-0.5927,0.0092,-0.5956,0.0079,0.2565,0.0073,0.0035,0.0144,-0.0047,0.0169,0.3096,0.0141,0.2848,0.014,0.2705,0.0211,0.2429,0.0154,0.1811,0.0173,0.0642,0.0206,-0.1519,0.0185,0.0352,0.0146,-0.2571,0.0455
2782589640405311744,5038.4,12.5,2.793,0.034,-0.9958,0.0087,-0.9833,0.0084,0.2842,0.1188,0.0215,0.0306,-0.327,0.0613,0.4406,0.0383,0.3308,0.0179,0.1664,0.0216,0.2745,0.0195,0.2468,0.0244,-0.1217,0.0332,-0.262,0.0254,0.0756,0.0196,-0.2157,0.0948
2782754670228636800,4305.0,8.4,0.931,0.042,-1.494,0.0121,-1.5182,0.0116,0.1803,0.0138,-0.567,0.0291,0.2865,0.0301,0.2124,0.0223,0.1706,0.0232,-0.335,0.0255,0.1536,0.0229,0.1299,0.0324,-0.1356,0.0312,-0.3492,0.0345,-0.0925,0.0262,-0.0646,0.0479
2811973092225462784,5053.4,27.6,2.667,0.061,-1.5276,0.0161,-1.5456,0.0164,0.2496,0.0247,0.0288,0.0831,0.1287,0.1144,0.4931,0.0898,0.2784,0.0373,-0.2283,0.0436,0.1989,0.0407,0.3684,0.0623,-0.2441,0.0728,0.0149,0.0607,-0.2935,0.0499,-0.8511,0.1823
2813835974161090176,4769.8,16.4,1.699,0.056,-1.5856,0.0154,-1.6171,0.0154,0.2331,0.0215,-0.3813,0.0605,0.1105,0.0561,0.346,0.0544,0.2293,0.0336,-0.3826,0.0378,0.1645,0.0349,0.2355,0.0532,0.1291,0.056,-0.597,0.0535,-0.2168,0.0428,-0.0725,0.113
2815483725477843456,4010.6,5.3,1.126,0.025,-0.4211,0.0094,-0.417,0.0077,0.2293,0.006,0.0694,0.0111,0.2195,0.0131,0.2656,0.0102,0.2684,0.0126,0.1539,0.021,0.1318,0.0139,0.1222,0.0149,0.1716,0.0167,-0.0057,0.0159,0.0311,0.0128,,
